Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
117,Sead Kolašinac,DF,ba,Bosnia–Herz,Atalanta,33,1993,4,4,337,3.7,0,1,1,0,0,0,0,0,0.0,0.27,0.27,0,0,6,2,0.2792,No
118,William Saliba,DF,fr,France,Arsenal,25,2001,6,6,479,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,6,0.2788,No
119,Facundo Medina,DF,ar,Argentina,Marseille,27,1999,4,3,257,2.9,0,1,1,0,0,0,1,0,0.0,0.35,0.35,0,0,7,2,0.2785,No
120,Adrien Rabiot,MF,fr,France,Milan,31,1995,6,6,495,5.5,0,1,1,0,0,0,1,0,0.0,0.18,0.18,9,1,7,11,0.275,No
121,Edson Álvarez,MFDF,mx,Mexico,West Ham,28,1997,4,2,240,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,6,3,0.2744,No
122,Breel Embolo,FW,ch,Switzerland,Rennes,29,1997,6,6,501,5.6,2,2,4,1,1,1,2,1,0.36,0.36,0.72,10,5,0,2,0.2739,No
123,Jan Paul van Hecke,DF,nl,Netherlands,Brighton,26,2000,4,4,390,4.3,1,0,1,1,0,0,0,0,0.23,0.0,0.23,3,2,3,4,0.2738,No
124,Andrés Cubas,MF,py,Paraguay,Vancouver,30,1996,5,5,480,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,13,11,0.2729,No
125,Kai Havertz,FW,de,Germany,Arsenal,27,1999,4,4,353,3.9,3,0,3,2,1,1,1,0,0.76,0.0,0.76,12,7,2,1,0.2729,No
126,Denzel Dumfries,DFMF,nl,Netherlands,Inter,30,1996,4,4,390,4.3,0,2,2,0,0,0,0,0,0.0,0.46,0.46,5,2,6,1,0.2713,No
127,Folarin Balogun,FW,us,United States,Monaco,25,2001,4,4,312,3.5,3,0,3,3,0,0,1,1,0.87,0.0,0.87,14,5,0,1,0.2697,No
128,Julián Quiñones,FWMF,mx,Mexico,Al-Qadsiah,29,1997,5,5,410,4.6,4,1,5,4,0,0,0,0,0.88,0.22,1.1,14,6,0,0,0.2694,No
129,Gabriel Magalhães,DF,br,Brazil,Arsenal,28,1997,5,5,450,5.0,0,1,1,0,0,0,0,0,0.0,0.2,0.2,1,0,2,4,0.2687,No
130,Patrick Berg,MF,no,Norway,Bodø/Glimt,28,1997,6,4,445,4.9,0,2,2,0,0,0,1,0,0.0,0.4,0.4,3,0,7,2,0.2678,No
131,Enzo Fernández,MF,ar,Argentina,Chelsea,25,2001,6,6,570,6.3,2,0,2,2,0,0,0,0,0.32,0.0,0.32,12,4,7,6,0.2676,No
132,Tim Ream,DF,us,United States,Charlotte,38,1987,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,6,0.2667,No
133,Ime Okon,DF,za,South Africa,Hannover 96,22,2004,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,5,0.2659,No
134,Josip Stanišić,DFMF,hr,Croatia,Bayern Munich,26,2000,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0,0,2,5,0.2659,No
135,Aïssa Mandi,DF,dz,Algeria,Lille,34,1991,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,4,0.265,No
136,Chris Richards,DF,us,United States,Crystal Palace,26,2000,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,3,4,0.265,No
137,Armando Obispo,DF,cw,Curaçao,PSV,27,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,7,0.2639,No
138,Guillermo Varela,DF,uy,Uruguay,Flamengo,33,1993,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,0,1,7,0.2639,No
139,Nathaniel Brown,DF,de,Germany,Frankfurt,23,2003,3,3,282,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,3,2,6,2,0.2632,No
140,Guéla Doué,DF,ci,Côte d'Ivoire,Strasbourg,23,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,5,3,0.2626,No
141,Abdukodir Khusanov,DF,uz,Uzbekistan,Manchester City,22,2004,3,3,270,3.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,3,5,0.2623,No
142,David Møller Wolfe,DF,no,Norway,Wolves,24,2002,5,5,430,4.8,0,1,1,0,0,0,0,0,0.0,0.21,0.21,0,0,3,3,0.262,No
143,Mohannad Abu Taha,DF,jo,Jordan,Al-Quwa Al-Jawiya,23,2003,3,3,264,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,2,6,0.2613,No
144,Johan Manzambi,MFFW,ch,Switzerland,Freiburg,20,2005,4,2,199,2.2,3,2,5,3,0,0,0,0,1.36,0.9,2.26,6,3,0,0,0.2612,No
145,Amar Dedić,DF,ba,Bosnia–Herz,Benfica,23,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,1,7,1,0.2589,No
146,Romelu Lukaku,FW,be,Belgium,Napoli,33,1993,6,1,233,2.6,3,1,4,3,0,0,1,0,1.16,0.39,1.55,6,3,0,0,0.2576,No
147,Pedro Vite,MF,ec,Ecuador,UNAM,24,2002,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,4,1,11,5,0.2554,No
148,Matheus Cunha,FW,br,Brazil,Manchester Utd,27,1999,5,4,290,3.2,3,0,3,3,0,0,0,0,0.93,0.0,0.93,11,5,3,3,0.255,No
149,Alexander Isak,FW,se,Sweden,Liverpool,26,1999,4,4,357,4.0,1,3,4,1,0,0,0,0,0.25,0.76,1.01,8,6,2,0,0.2544,No
150,Deveron Fonville,DF,cw,Curaçao,NEC Nijmegen,23,2003,3,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,5,0.2538,No
151,Gustavo Gómez,DF,py,Paraguay,Palmeiras,33,1993,5,5,480,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,3,2,0.2532,No
152,Johan Mojica,DF,co,Colombia,Mallorca,33,1992,4,4,390,4.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,2,3,3,0.2504,No
153,Nathan Saliba,MF,ca,Canada,Anderlecht,22,2004,3,2,182,2.0,1,2,3,1,0,0,1,0,0.49,0.99,1.48,3,1,4,4,0.2504,No
154,Nuno Mendes,DF,pt,Portugal,PSG,24,2002,5,5,395,4.4,1,0,1,1,0,0,0,0,0.23,0.0,0.23,3,1,6,0,0.2494,No
155,Marquinhos,DF,br,Brazil,PSG,32,1994,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,2,3,0.2453,No
156,Julian Ryerson,DF,no,Norway,Dortmund,28,1997,4,4,223,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,8,0,0.2444,No
157,Yoane Wissa,FW,cd,Congo DR,Newcastle,29,1996,4,4,360,4.0,3,0,3,2,1,1,0,0,0.75,0.0,0.75,11,3,1,0,0.242,No
