Rank,Player,Position,Nation Code,Nation,Club,Age,Born,Matches Played,Starts,Minutes Played,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalties Scored,Penalties Attempted,Yellow Cards,Red Cards,Goals per 90,Assists per 90,G+A per 90,Shots,Shots on Target,Tackles Won,Interceptions,Score,Dream XI
369,Jack Hendry,DF,sct,Scotland,Al-Ettifaq,31,1995,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,0,0.1231,No
370,Ali Nemati,DF,ir,IR Iran,Foolad,30,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,2,0,0.1231,No
371,Habib Diarra,MF,sn,Senegal,Sunderland,22,2004,3,2,143,1.6,2,0,2,2,0,0,0,0,1.26,0.0,1.26,4,2,2,1,0.1223,No
372,Takehiro Tomiyasu,DF,jp,Japan,Ajax,27,1998,3,2,184,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,2,0.1223,No
373,Nicolas Seiwald,MF,at,Austria,RB Leipzig,25,2001,4,4,315,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,5,4,0.1222,No
374,Fares Chaïbi,MF,dz,Algeria,Frankfurt,23,2002,4,4,360,4.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,9,3,5,3,0.1221,No
375,Grant Hanley,DF,sct,Scotland,Hibernian,34,1991,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.1203,No
376,Arda Güler,MF,tr,Türkiye,Real Madrid,21,2005,3,3,270,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,12,4,3,2,0.1199,No
377,Anthony Elanga,MFFW,se,Sweden,Newcastle,24,2002,4,2,217,2.4,2,0,2,2,0,0,0,0,0.83,0.0,0.83,3,3,0,2,0.1197,No
378,Lucas Bergvall,MF,se,Sweden,Tottenham,20,2006,4,1,181,2.0,0,1,1,0,0,0,1,0,0.0,0.5,0.5,2,0,2,2,0.1195,No
379,Lamine Camara,MF,sn,Senegal,Monaco,22,2004,4,3,248,2.8,0,1,1,0,0,0,1,0,0.0,0.36,0.36,3,0,1,2,0.1192,No
380,Chemsdine Talbi,MF,ma,Morocco,Sunderland,21,2005,5,1,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,2,0,2,2,0.1192,No
381,Amir Al Ammari,MF,iq,Iraq,Cracovia,28,1997,3,3,247,2.7,0,1,1,0,0,0,2,0,0.0,0.36,0.36,0,0,1,2,0.119,No
382,Thomas Partey,MF,gh,Ghana,Villarreal,33,1993,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,4,6,0.119,No
383,Husam Abu Dahab,DF,jo,Jordan,Al-Salmiya SC,26,2000,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,3,0,0.1189,No
384,Frans Dhia Putros,DF,iq,Iraq,Persib Bandung,33,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,2,0.1175,No
385,Saleh Hardani,DF,ir,IR Iran,Esteghlal,27,1998,2,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,2,0.1175,No
386,Danley Jean-Jacques,MF,ht,Haiti,Philadelphia,26,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,6,3,0.1174,No
387,Chris Wood,FW,nz,New Zealand,Nottingham,34,1991,3,3,270,3.0,0,2,2,0,0,0,0,0,0.0,0.67,0.67,5,2,1,0,0.1174,No
388,Gustavo Velásquez,DF,py,Paraguay,Cerro Porteño,35,1991,5,2,246,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.117,No
389,Ritsu Doan,MF,jp,Japan,Frankfurt,28,1998,4,4,278,3.1,0,1,1,0,0,0,0,0,0.0,0.32,0.32,1,0,1,1,0.1169,No
390,Sphephelo Sithole,MF,za,South Africa,Tondela,27,1999,3,3,229,2.5,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0,0,5,5,0.1164,No
391,Daizen Maeda,MF,jp,Japan,Celtic,28,1997,3,3,244,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,2,1,3,2,0.1161,No
392,Ivan Bašić,MF,ba,Bosnia–Herz,FC Astana,24,2002,3,2,179,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,4,0,1,3,0.1158,No
393,Kalidou Koulibaly,DF,sn,Senegal,Al-Hilal,35,1991,2,2,161,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.1156,No
394,Romano Schmid,MFFW,at,Austria,Werder Bremen,26,2000,4,4,263,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,2,1,4,0,0.1155,No
395,Jacob Italiano,DF,au,Australia,Grazer AK,24,2001,2,2,163,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,2,1,0.1154,No
396,Ferdi Kadioglu,DF,tr,Türkiye,Brighton,26,1999,2,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,1,0.1142,No
397,Marcus Pedersen,DF,no,Norway,Torino,26,2000,4,1,236,2.6,1,0,1,1,0,0,0,0,0.38,0.0,0.38,1,1,2,0,0.1132,No
398,Kevin De Bruyne,MF,be,Belgium,Napoli,35,1991,5,5,382,4.2,1,0,1,1,0,0,1,0,0.24,0.0,0.24,20,5,2,0,0.1128,No
399,Phillipp Mwene,DF,at,Austria,Mainz 05,32,1994,2,2,147,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,3,0.1124,No
400,Tajon Buchanan,MF,ca,Canada,Villarreal,27,1999,5,5,376,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,3,5,1,0.1111,No
401,Martin Baturina,MFFW,hr,Croatia,Como,23,2003,4,4,321,3.6,1,0,1,1,0,0,0,0,0.28,0.0,0.28,3,1,2,1,0.1106,No
402,Juninho Bacuna,MF,cw,Curaçao,Volendam,28,1997,3,3,254,2.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,5,1,4,5,0.1101,No
403,Christ Inao Oulaï,MF,ci,Côte d'Ivoire,Trabzonspor,20,2006,4,2,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,4,6,0.11,No
404,Sultan Al-Brake,DF,qa,Qatar,Al Duhail SC,30,1996,2,1,141,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.1098,No
405,Alexandr Sojka,MFDF,cz,Czechia,Viktoria Plzeň,23,2003,3,2,141,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0,0,1,2,0.1098,No
406,Jamiro Monteiro,MF,cv,Cabo Verde,Zwolle,32,1993,4,3,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,1,4,4,0.1073,No
407,Caleb Yirenkyi,MF,gh,Ghana,Nordsjælland,20,2006,4,3,264,2.9,1,0,1,1,0,0,2,0,0.34,0.0,0.34,2,1,1,3,0.1057,No
408,Idrissa Gueye,MF,sn,Senegal,Everton,36,1989,4,4,361,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,1,4,2,0.1056,No
409,Akmal Mozgovoy,MF,uz,Uzbekistan,Pakhtakor Tashkent FK,27,1999,3,2,216,2.4,0,1,1,0,0,0,0,0,0.0,0.42,0.42,1,0,0,2,0.1045,No
410,Saman Ghoddos,MF,ir,IR Iran,Al-Ittihad Kalba,32,1993,3,3,208,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,0,4,5,0.1034,No
411,Jefferson Lerma,MF,co,Colombia,Crystal Palace,31,1994,5,5,410,4.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,1,1,5,0.1027,No
412,Christian Pulisic,MF,us,United States,Milan,27,1998,4,3,223,2.5,0,1,1,0,0,0,0,0,0.0,0.4,0.4,4,2,1,0,0.1022,No
413,Tijjani Reijnders,MF,nl,Netherlands,Manchester City,27,1998,3,3,199,2.2,0,1,1,0,0,0,0,0,0.0,0.45,0.45,4,2,0,2,0.1021,No
414,Robin Hranáč,DF,cz,Czechia,Hoffenheim,26,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,1,0.1014,No
415,Nabil Bentaleb,MF,dz,Algeria,Lille,31,1994,4,3,285,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,3,0.1012,No
416,Eren Elmalı,DF,tr,Türkiye,Galatasaray,26,2000,2,1,111,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,2,0.1011,No
417,Benjamin Tahirovic,MF,ba,Bosnia–Herz,Brøndby,23,2003,4,2,237,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,4,0.1009,No
418,Edmilson Junior,MFFW,qa,Qatar,Al Duhail SC,31,1994,3,3,210,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,3,2,1,0,0.1003,No
419,Antonio Nusa,FW,no,Norway,RB Leipzig,21,2005,6,4,318,3.5,1,0,1,1,0,0,1,0,0.28,0.0,0.28,6,2,2,2,0.0986,No
420,Merih Demiral,DF,tr,Türkiye,Al-Ahli,28,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,2,1,1,0.0978,No
421,Redouane Halhal,DF,ma,Morocco,Mechelen,23,2003,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,1,0.0978,No
422,Steve Kapuadi,DF,cd,Congo DR,Widzew Łódź,28,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0.0978,No
423,Philipp Lienhart,DF,at,Austria,Freiburg,30,1996,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0.0978,No
424,Mert Müldür,DF,tr,Türkiye,Fenerbahçe,27,1999,3,1,101,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,2,1,0.0974,No
425,Michal Sadílek,MF,cz,Czechia,Slavia Prague,27,1999,3,2,183,2.0,1,0,1,1,0,0,0,0,0.49,0.0,0.49,7,3,2,2,0.0972,No
426,Nasser Al-Dawsari,MF,sa,Saudi Arabia,Al-Hilal,27,1998,3,2,207,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,4,4,0.0966,No
427,Daniel Svensson,DF,se,Sweden,Dortmund,24,2002,3,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,1,0.0965,No
428,Tyler Bindon,DF,nz,New Zealand,Sheffield United,21,2005,3,1,97,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,2,1,0.0962,No
429,Thapelo Maseko,MFFW,za,South Africa,AEL Limassol,22,2003,3,3,242,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,8,1,1,2,0.0958,No
430,John Stones,DF,eng,England,Manchester City,32,1994,5,3,330,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0955,No
431,Junya Itō,MF,jp,Japan,Genk,33,1993,4,2,216,2.4,1,0,1,1,0,0,0,0,0.42,0.0,0.42,3,1,2,1,0.0954,No
432,El Hadji Malick Diouf,DF,sn,Senegal,West Ham,21,2004,3,2,171,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.0952,No
433,John Yeboah,MF,ec,Ecuador,Venezia,26,2000,4,4,311,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,8,3,3,3,0.095,No
434,Noni Madueke,MF,eng,England,Arsenal,24,2002,5,4,286,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,1,4,2,0.0947,No
435,Ermin Mahmić,MF,ba,Bosnia–Herz,Slovan Liberec,21,2005,3,0,68,0.8,2,0,2,2,0,0,1,0,2.65,0.0,2.65,4,2,1,0,0.0947,No
436,Ao Tanaka,MF,jp,Japan,Leeds United,27,1998,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,6,1,0.0945,No
437,Fidel Escobar,DF,pa,Panama,Saprissa,31,1995,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.0942,No
438,Christopher Opéri,DF,ci,Côte d'Ivoire,Başakşehir,29,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.0942,No
439,Miro Muheim,DFMF,ch,Switzerland,Hamburger SV,28,1998,3,0,87,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,1,2,0.0941,No
440,Wilson Isidor,FW,ht,Haiti,Sunderland,25,2000,3,2,186,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,5,2,1,1,0.0937,No
441,Nicolas Jackson,FW,sn,Senegal,Bayern Munich,25,2001,4,2,234,2.6,0,1,1,0,0,0,0,0,0.0,0.38,0.38,7,3,2,1,0.0937,No
442,Santiago Arias,DF,co,Colombia,Independiente,34,1992,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,1,0.093,No
443,Nilson Angulo,MF,ec,Ecuador,Sunderland,23,2003,4,2,218,2.4,1,0,1,1,0,0,0,0,0.41,0.0,0.41,2,2,1,2,0.0923,No
444,Kevin Danso,DF,at,Austria,Tottenham,27,1998,4,2,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,0,0.0922,No
445,Orkun Kökçü,MF,tr,Türkiye,Beşiktaş,25,2000,3,2,153,1.7,0,1,1,0,0,0,0,0,0.0,0.59,0.59,3,0,1,0,0.0921,No
446,Ayyoub Bouaddi,MF,ma,Morocco,Lille,18,2007,5,5,381,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,0,3,1,0.0918,No
447,Nikola Vlašić,MF,hr,Croatia,Torino,28,1997,3,2,189,2.1,1,0,1,1,0,0,0,0,0.48,0.0,0.48,3,1,2,1,0.0915,No
448,Kerim Alajbegović,MF,ba,Bosnia–Herz,RB Salzburg,18,2007,4,3,277,3.1,1,0,1,1,0,0,0,0,0.32,0.0,0.32,4,1,0,2,0.0909,No
449,Thalente Mbatha,MF,za,South Africa,Orlando Pirates,26,2000,4,2,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,1,2,5,0.0909,No
450,Noah Sadiki,MF,cd,Congo DR,Sunderland,21,2004,4,2,259,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0,0,4,2,0.0908,No
451,Damián Bobadilla,MF,py,Paraguay,São Paulo,25,2001,4,2,189,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,3,5,0.0906,No
452,Omar Marmoush,FWMF,eg,Egypt,Manchester City,27,1999,5,3,326,3.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,11,1,3,2,0.0905,No
453,Shogo Taniguchi,DF,jp,Japan,Sint-Truiden,35,1991,3,2,232,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,0,1,0.0904,No
454,Ayoub Al-Oui,DF,qa,Qatar,Al-Gharafa Sports Club,21,2005,2,2,149,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0896,No
455,Fabinho,DFMF,br,Brazil,Al-Ittihad,32,1993,3,0,71,0.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,2,0.0895,No
456,Mohammad Mohebi,MF,ir,IR Iran,Rostov,27,1998,3,3,244,2.7,1,0,1,1,0,0,0,0,0.37,0.0,0.37,2,1,1,1,0.0894,No
457,João Félix,MF,pt,Portugal,Al-Nassr,26,1999,3,3,201,2.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,6,1,4,3,0.089,No
458,Oh Hyeon-gyu,FW,kr,Korea Republic,Beşiktaş,25,2001,3,1,129,1.4,1,0,1,1,0,0,0,0,0.7,0.0,0.7,4,2,0,0,0.0888,No
459,Eldor Shomurodov,FW,uz,Uzbekistan,Başakşehir,31,1995,3,3,269,3.0,1,0,1,1,0,0,0,0,0.33,0.0,0.33,4,2,4,0,0.0888,No
460,Haissem Hassan,MF,eg,Egypt,Oviedo,24,2002,2,1,126,1.4,0,1,1,0,0,0,2,0,0.0,0.71,0.71,1,0,1,0,0.0881,No
461,Enner Valencia,FW,ec,Ecuador,Pachuca,36,1989,4,4,287,3.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10,6,1,0,0.0879,No
462,Yannick,MF,cv,Cabo Verde,Farense,30,1995,2,0,32,0.4,0,1,1,0,0,0,0,0,0.0,2.81,2.81,1,0,1,2,0.0878,No
463,Fiston Mayele,FW,cd,Congo DR,Pyramids FC,32,1994,2,0,42,0.5,1,0,1,1,0,0,0,0,2.14,0.0,2.14,5,1,0,0,0.0872,No
464,Jason Geria,DF,au,Australia,Albirex Niigata,33,1993,2,0,62,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.0869,No
465,Sergiño Dest,MF,us,United States,PSV,25,2000,5,4,297,3.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,1,5,0.0863,No
466,Mohamed Kanno,MF,sa,Saudi Arabia,Al-Hilal,31,1994,3,2,225,2.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,2,4,2,0.0858,No
467,Hossein Kanaanizadegan,DF,ir,IR Iran,Persepolis,32,1994,2,2,135,1.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,1,0,2,0.0856,No
468,Aiden O'Neill,MF,au,Australia,NYCFC,28,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,2,2,0.0854,No
469,Cameron Burgess,DF,au,Australia,Swansea City,30,1995,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,1,0.0847,No
470,Amine Gouiri,FW,dz,Algeria,Marseille,26,2000,4,3,251,2.8,1,0,1,1,0,0,0,0,0.36,0.0,0.36,3,2,1,0,0.0839,No
471,Jovo Lukić,FW,ba,Bosnia–Herz,Univ. Cluj,27,1998,2,1,67,0.7,1,0,1,1,0,0,1,0,1.34,0.0,1.34,3,2,1,0,0.0839,No
472,Hazem Mastouri,FW,tn,Tunisia,D. Makhachkala,29,1997,1,1,89,1.0,1,0,1,1,0,0,0,0,1.01,0.0,1.01,3,2,0,1,0.0839,No
473,Luis Suárez,FW,co,Colombia,Sporting CP,28,1997,5,3,331,3.7,0,1,1,0,0,0,1,0,0.0,0.27,0.27,9,0,4,0,0.0839,No
474,Waldemar Anton,DFMF,de,Germany,Dortmund,29,1996,2,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,1,2,0.0834,No
475,İsmail Yüksek,MF,tr,Türkiye,Fenerbahçe,27,1999,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,5,0,5,2,0.0834,No
476,Marcus Rashford,MF,eng,England,Barcelona,28,1997,5,2,178,2.0,1,0,1,1,0,0,0,0,0.51,0.0,0.51,12,5,2,0,0.0832,No
477,Ali Olwan,MF,jo,Jordan,Al-Sailiya SC,26,2000,3,3,268,3.0,1,0,1,1,0,0,0,0,0.34,0.0,0.34,6,3,0,1,0.0829,No
478,Ernest Nuamah,MF,gh,Ghana,Lyon,22,2003,3,1,89,1.0,0,1,1,0,0,0,0,0,0.0,1.01,1.01,0,0,1,0,0.0828,No
479,Aleksandar Pavlovic,MF,de,Germany,Bayern Munich,22,2004,4,4,272,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,4,1,3,2,0.0827,No
480,Agustín Canobbio,FW,uy,Uruguay,Fluminense,27,1998,3,2,224,2.5,1,0,1,1,0,0,0,1,0.4,0.0,0.4,4,1,3,2,0.0823,No
481,Saša Kalajdžić,FW,at,Austria,LASK,29,1997,3,1,77,0.9,1,0,1,1,0,0,0,0,1.17,0.0,1.17,4,1,0,0,0.0823,No
482,Fredrik André Bjørkan,DF,no,Norway,Bodø/Glimt,27,1998,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,1,2,0.0819,No
483,Nestory Irankunda,FWMF,au,Australia,Watford,20,2006,4,3,261,2.9,1,0,1,1,0,0,0,0,0.34,0.0,0.34,6,2,0,1,0.0819,No
484,Joe Bell,MF,nz,New Zealand,Viking,27,1999,3,3,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,2,4,0.0818,No
485,Cristian Martínez,MFFW,pa,Panama,Kiryat Shmona,29,1997,3,3,242,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,1,0.0816,No
486,Roger Ibanez,DF,br,Brazil,Al-Ahli,27,1998,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0,0,2,1,0.0811,No
487,Teun Koopmeiners,DFMF,nl,Netherlands,Juventus,28,1998,4,0,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,0,1,1,0.081,No
488,Ibrahim Bayesh,MFFW,iq,Iraq,Al Dhafra SCC,26,2000,3,3,235,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,4,1,0.0806,No
489,Thelo Aasgaard,MF,no,Norway,Rangers,24,2002,1,1,90,1.0,1,0,1,1,0,0,0,0,1.0,0.0,1.0,2,1,1,3,0.0804,No
490,Fabian Rieder,MFFW,ch,Switzerland,Augsburg,24,2002,5,3,302,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,7,2,3,1,0.0804,No
491,Moïse Bombito,DF,ca,Canada,Nice,26,2000,3,2,193,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,0,1,0.0791,No
492,Nadhir Benbouali,FW,dz,Algeria,Győr,26,2000,1,0,45,0.5,1,0,1,1,0,0,0,0,2.0,0.0,2.0,2,2,1,0,0.079,No
493,Brian Cipenga,MFFW,cd,Congo DR,Castellón,28,1998,2,2,146,1.6,1,0,1,1,0,0,0,0,0.62,0.0,0.62,6,1,2,0,0.0785,No
494,Aziz Behich,MF,au,Australia,Melb City,35,1990,3,2,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,4,1,0.078,No
495,Jean-Ricner Bellegarde,MF,ht,Haiti,Wolves,28,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,6,0,2,3,0.0776,No
496,Aziz Gʻaniyev,MF,uz,Uzbekistan,,28,1998,2,1,122,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,6,0,0.0776,No
497,Ante Budimir,FW,hr,Croatia,Osasuna,34,1991,3,2,155,1.7,1,0,1,1,0,0,0,0,0.58,0.0,0.58,3,1,1,0,0.0774,No
498,Ayman Hussein,FW,iq,Iraq,Al-Karma,30,1996,2,2,115,1.3,1,0,1,1,0,0,0,0,0.78,0.0,0.78,3,1,0,0,0.0774,No
499,Juan Quintero,FWMF,co,Colombia,River Plate,33,1993,4,0,121,1.3,0,1,1,0,0,0,0,0,0.0,0.74,0.74,4,0,0,0,0.0774,No
500,Hélio Varela,FW,cv,Cabo Verde,Maccabi Tel Aviv,24,2002,3,0,104,1.2,1,0,1,1,0,0,0,0,0.87,0.0,0.87,3,1,0,0,0.0774,No
501,Takefusa Kubo,MF,jp,Japan,Real Sociedad,25,2001,1,1,74,0.8,0,1,1,0,0,0,0,0,0.0,1.22,1.22,1,0,0,1,0.0773,No
502,Jaouen Hadjam,DF,dz,Algeria,Young Boys,23,2003,3,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,1,1,0.0772,No
503,David Raum,DF,de,Germany,RB Leipzig,28,1998,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,1,1,1,0.0769,No
504,Nadiem Amiri,MF,de,Germany,Mainz 05,29,1996,2,0,42,0.5,0,1,1,0,0,0,0,0,0.0,2.14,2.14,2,1,1,0,0.076,No
505,Kevin Rodríguez,FW,ec,Ecuador,Union SG,26,2000,4,0,118,1.3,0,1,1,0,0,0,0,0,0.0,0.76,0.76,6,1,1,0,0.0758,No
506,Antonio Rüdiger,DF,de,Germany,Real Madrid,33,1993,4,2,262,2.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,0,0.0758,No
507,Marko Stamenic,MF,nz,New Zealand,Swansea City,24,2002,3,3,269,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,3,0,1,4,0.0756,No
508,Gessime Yassine,MF,ma,Morocco,Strasbourg,20,2005,3,0,80,0.9,1,0,1,1,0,0,0,0,1.13,0.0,1.13,2,1,2,1,0.0756,No
509,John McGinn,MF,sct,Scotland,Aston Villa,31,1994,3,3,259,2.9,1,0,1,1,0,0,0,0,0.35,0.0,0.35,3,1,0,0,0.0749,No
510,Thiago Almada,MF,ar,Argentina,Atlético Madrid,25,2001,5,3,241,2.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,5,2,4,0,0.0748,No
511,Tshepang Moremi,MF,za,South Africa,Orlando Pirates,25,2000,2,0,34,0.4,0,1,1,0,0,0,0,0,0.0,2.65,2.65,0,0,1,0,0.0748,No
512,César Blackman,MFDF,pa,Panama,Slovan Bratislava,28,1998,2,2,178,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,2,1,0,1,0.0747,No
513,Jeremy Doku,MF,be,Belgium,Manchester City,24,2002,5,4,309,3.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,3,1,1,3,0.0747,No
514,Derrick Luckassen,DF,gh,Ghana,Pafos FC,31,1995,2,2,180,2.0,1,0,1,1,0,0,0,0,0.5,0.0,0.5,1,1,1,0,0.0745,No
515,Stjepan Radeljić,DF,ba,Bosnia–Herz,Rijeka,28,1997,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,1,0,1,0,0.0745,No
516,Ibrahima Konaté,DF,fr,France,Liverpool,27,1999,1,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,3,0.0741,No
517,Federico Valverde,MF,uy,Uruguay,Real Madrid,27,1998,3,3,236,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,10,2,2,3,0.0741,No
518,Ali Ahmed,MF,ca,Canada,Norwich City,25,2000,4,3,234,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,2,1,2,3,0.0738,No
519,Oswin Appollis,MFFW,za,South Africa,Orlando Pirates,24,2001,4,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,4,1,3,1,0.0735,No
520,Meschak Elia,FWMF,cd,Congo DR,Alanyaspor,28,1997,2,0,46,0.5,0,1,1,0,0,0,0,0,0.0,1.96,1.96,2,1,0,1,0.0732,No
521,Khojiakbar Alijonov,MF,uz,Uzbekistan,Pakhtakor Tashkent FK,29,1997,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,2,5,0.0728,No
522,Štěpán Chaloupek,DF,cz,Czechia,Slavia Prague,23,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0725,No
523,Deiver Machado,DF,co,Colombia,Nantes,32,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,2,0.0725,No
524,Gonçalo Ramos,FW,pt,Portugal,PSG,25,2001,2,0,36,0.4,1,0,1,1,0,0,0,0,2.5,0.0,2.5,2,1,0,0,0.0725,No
525,Marcos Senesi,DF,ar,Argentina,Bournemouth,29,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,1,0,0,2,0.0725,No
