,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
833,Amine Sbai,FWMF,ma Morocco,25-254,2000,0.1,0,0,0,2,0,0,2,0,0,,,0,Matches,bafbe06a
834,Joe Scally,DF,us United States,23-198,2002,1.0,0,0,0,0,2,1,4,1,1,,,0,Matches,236f02cd
835,Patrik Schick,FW,cz Czechia,30-174,1996,2.0,0,0,0,1,3,0,0,0,0,,,0,Matches,5d4f7d61
836,Andreas Schjelderup,FW,no Norway,22-046,2004,2.8,0,0,0,2,3,0,4,5,3,,,0,Matches,a427724f
837,Alexander Schlager,GK,at Austria,30-166,1996,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches,6fe5c35b
838,Xaver Schlager,MF,at Austria,28-292,1997,2.6,0,0,0,6,0,0,1,7,3,,,0,Matches,8f056768
839,Nico Schlotterbeck,DF,de Germany,26-228,1999,1.5,0,0,0,2,1,0,0,3,2,,,0,Matches,34e12499
840,Romano Schmid,MFFW,at Austria,26-171,2000,2.9,0,0,0,3,4,0,3,0,4,,,0,Matches,220ace7e
841,Kamogelo Sebelebele,DFMF,za South Africa,23-361,2002,0.1,0,0,0,1,0,0,1,0,0,,,0,Matches,cc014f7d
842,Abdoulaye Seck,DF,sn Senegal,34-043,1992,0.6,1,0,0,1,1,0,0,0,0,,,0,Matches,f07a0fe5
843,Alidu Seidu,DF,gh Ghana,26-043,2000,0.9,1,0,0,1,0,0,1,1,1,,,0,Matches,cea59f02
844,Nicolas Seiwald,MF,at Austria,25-074,2001,3.5,0,0,0,1,1,0,3,4,5,,,0,Matches,28c6e925
845,Ayumu Seko,DF,jp Japan,26-040,2000,1.0,0,0,0,1,0,0,0,1,1,,,0,Matches,5c6a4059
846,Egil Selvik,GK,no Norway,28-352,1997,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,05d89c1c
847,Ken Sema,FWMF,se Sweden,32-290,1993,0.2,0,0,0,0,1,0,0,0,1,,,0,Matches,1770bd68
848,Nélson Semedo,DFMF,pt Portugal,32-243,1993,1.4,1,0,0,2,2,0,3,0,0,,,0,Matches,d04b94db
849,Willy Semedo,FW,cv Cabo Verde,32-081,1994,1.5,0,0,0,4,2,0,2,3,0,,,0,Matches,d1edc98f
850,Antoine Semenyo,MFFW,gh Ghana,26-191,2000,4.0,0,0,0,6,4,4,5,0,2,,,0,Matches,efd2ec23
851,Marvin Senaya,DF,gh Ghana,25-170,2001,3.1,0,0,0,6,4,0,8,6,12,,,0,Matches,1d383c10
852,Marcos Senesi,DF,ar Argentina,29-068,1997,1.0,0,0,0,0,2,0,0,2,0,,,0,Matches,35141f4c
853,Igor Sergeev,FW,uz Uzbekistan,33-078,1993,0.3,0,0,0,0,0,1,0,0,0,,,0,Matches,8df41977
854,Jean Seri,MF,ci Côte d'Ivoire,34-363,1991,0.2,0,0,0,0,0,0,3,0,1,,,0,Matches,10efd0e1
855,Kim Seung-gyu,GK,kr Korea Republic,35-290,1990,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,eabaafa6
856,Paik Seung-ho,MF,kr Korea Republic,29-122,1997,2.3,1,0,0,1,2,0,1,1,0,,,0,Matches,1e1bea09
857,Joaquin Seys,DF,be Belgium,21-111,2005,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches,0beabf0a
858,Jacob Shaffelburg,MF,ca Canada,26-233,1999,1.0,0,0,0,2,1,0,18,2,1,,,0,Matches,339a2561
859,Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23-340,2002,1.5,0,0,0,2,1,0,3,1,3,,,0,Matches,dd65e243
860,Lawrence Shankland,FW,sct Scotland,30-341,1995,1.9,0,0,0,5,3,1,0,0,1,,,0,Matches,63b1a176
861,Sharara,FW,jo Jordan,28-199,1997,0.0,1,0,0,1,0,0,0,0,0,,,0,Matches,67e2aed8
862,Aimar Sher,MF,iq Iraq,23-209,2002,0.3,0,0,0,0,0,0,1,0,0,,,0,Matches,ef301f96
863,Kento Shiogai,FW,jp Japan,21-113,2005,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,6bc2fef7
864,Mostafa Shobeir,GK,eg Egypt,26-063,2000,5.3,1,0,0,0,5,0,0,0,0,,,0,Matches,0cb1d2ba
865,Eldor Shomurodov,FW,uz Uzbekistan,31-018,1995,3.0,0,0,0,8,4,1,1,0,4,,,0,Matches,57469b2d
866,Otabek Shukurov,MF,uz Uzbekistan,30-025,1996,2.6,0,0,0,2,5,0,1,0,2,,,0,Matches,62032a56
867,Nkosinathi Sibisi,DF,za South Africa,30-298,1995,1.0,1,0,0,1,0,0,0,1,0,,,0,Matches,932f8e2b
868,Kwasi Sibo,MF,gh Ghana,28-023,1998,2.8,0,0,0,7,1,0,0,2,0,,,0,Matches,be834ad7
869,Niko Sigur,MF,ca Canada,22-311,2003,1.4,1,0,0,5,1,0,5,0,1,,,0,Matches,5c56986b
870,Bernardo Silva,MF,pt Portugal,31-341,1994,1.1,2,0,0,3,0,0,0,1,0,,,0,Matches,3eb22ec9
871,Éderson Silva,MF,br Brazil,27-010,1999,0.2,0,0,0,1,0,0,2,1,0,,,0,Matches,a9202def
872,Giuliano Simeone,FW,ar Argentina,23-211,2002,1.6,0,0,0,6,1,1,2,1,1,,,0,Matches,a6536561
873,Dominique Simon,MF,ht Haiti,25-353,2000,0.6,0,0,0,1,1,0,1,1,1,,,0,Matches,ffd8e8c5
874,Unai Simón,GK,es Spain,29-036,1997,7.0,0,0,0,0,3,0,0,0,0,,,0,Matches,5dcf3e90
875,Sarpreet Singh,MF,nz New Zealand,27-147,1999,2.3,1,0,0,2,2,0,7,0,1,,,0,Matches,4ba886c6
876,Wilfried Singo,DF,ci Côte d'Ivoire,25-204,2000,1.9,0,0,0,3,1,0,1,4,0,,,0,Matches,8b609c34
877,Sphephelo Sithole,MF,za South Africa,27-136,1999,2.5,0,1,0,5,1,0,0,5,5,,,0,Matches,33bcd4b3
878,Ellyes Skhiri,MFDF,tn Tunisia,31-068,1995,2.8,0,0,0,0,1,0,0,2,1,,,1,Matches,c2211709
879,Alexandr Sojka,MFDF,cz Czechia,23-106,2003,1.6,0,0,0,0,2,0,6,2,1,,,0,Matches,765b7bfc
880,Ramón Sosa,FWMF,py Paraguay,26-320,1999,0.1,0,0,0,0,1,0,0,0,0,,,0,Matches,2d3417a1
881,Tomáš Souček,MF,cz Czechia,31-140,1995,1.5,0,0,0,3,1,2,1,1,0,,,0,Matches,6613c819
882,Harry Souttar,DF,au Australia,27-268,1998,4.3,1,0,0,8,1,0,0,4,0,,,0,Matches,0a6cb1b1
883,Djibril Sow,MF,ch Switzerland,29-161,1997,2.8,0,0,0,5,4,0,3,2,1,,,0,Matches,4c6facae
884,Çağlar Söyüncü,DF,tr Türkiye,30-055,1996,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,21166ff4
885,Djed Spence,DF,eng England,25-342,2000,3.5,0,0,0,1,3,0,6,4,8,,,0,Matches,9bc9a519
886,Marko Stamenic,MF,nz New Zealand,24-148,2002,3.0,1,0,0,4,0,0,1,4,1,,,0,Matches,690d1049
887,Josip Stanišić,DFMF,hr Croatia,26-106,2000,4.0,0,0,0,0,4,0,7,5,2,,,0,Matches,7ed08d5c
888,Carl Starfelt,DF,se Sweden,31-046,1995,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,5cfec13d
889,Ross Stewart,FW,sct Scotland,30-006,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,18986367
890,Angelo Stiller,MF,de Germany,25-104,2001,0.5,0,0,0,0,0,0,0,1,1,,,0,Matches,3b1ed320
891,John Stones,DF,eng England,32-050,1994,3.7,0,0,0,1,1,0,1,0,0,,,0,Matches,5eecec3d
892,Jørgen Strand Larsen,FW,no Norway,26-161,2000,1.2,0,0,0,0,2,1,0,0,0,,,0,Matches,f553b2b3
893,Elliot Stroud,MF,se Sweden,24-025,2002,1.8,0,0,0,3,1,0,4,3,0,,,0,Matches,ff11bdec
894,Luis Suárez,FW,co Colombia,28-227,1997,3.7,1,0,0,7,8,1,2,0,4,,,0,Matches,eeba07f8
895,Luka Sučić,FWMF,hr Croatia,23-312,2002,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,1e1378e1
896,Petar Sučić,MFFW,hr Croatia,22-265,2003,3.2,1,0,0,7,6,1,4,1,2,,,0,Matches,23fb46ea
897,Yukinari Sugawara,MF,jp Japan,26-019,2000,1.6,0,0,0,3,1,0,4,0,3,,,0,Matches,580bcd18
898,Rebin Sulaka,DF,iq Iraq,34-096,1992,0.5,0,1,0,1,0,0,0,1,0,,,0,Matches,928bec06
899,Pavel Šulc,FW,cz Czechia,25-200,2000,2.1,0,0,0,2,1,1,1,0,2,,,0,Matches,e9b893af
900,Kamaldeen Sulemana,MFFW,gh Ghana,24-152,2002,1.4,0,0,0,2,1,1,4,1,2,,,0,Matches,a62f8bf1
901,Crysencio Summerville,FW,nl Netherlands,24-260,2001,2.8,1,0,0,2,5,1,7,2,2,,,0,Matches,df04eb4b
902,Ivan Šunjić,MF,ba Bosnia–Herz,29-281,1996,2.2,0,0,0,7,0,0,1,0,3,,,0,Matches,e18098de
903,Finn Surman,DF,nz New Zealand,22-297,2003,3.0,0,0,0,4,2,0,0,4,1,,,0,Matches,016e419b
904,Josip Šutalo,DF,hr Croatia,26-139,2000,4.0,0,0,0,2,1,0,0,6,4,,,0,Matches,33a6a650
905,Junnosuke Suzuki,DF,jp Japan,23-005,2003,0.5,1,0,0,2,0,0,0,1,0,,,0,Matches,77428b1e
906,Yuito Suzuki,FWMF,jp Japan,24-265,2001,0.1,0,0,0,0,0,0,0,0,1,,,0,Matches,c25a7a2a
907,Zion Suzuki,GK,jp Japan,23-330,2002,4.0,0,0,0,0,1,0,0,0,0,,,0,Matches,51e1f4f5
908,Mattias Svanberg,MF,se Sweden,27-193,1999,0.2,0,0,0,0,1,0,0,1,1,,,0,Matches,92d83c27
909,Daniel Svensson,DF,se Sweden,24-155,2002,1.1,0,0,0,0,0,1,2,1,2,,,0,Matches,124c9382
910,Alexander Sørloth,FW,no Norway,30-224,1995,3.7,0,0,0,6,2,2,5,0,1,,,0,Matches,e92cd3f7
911,Musa Al-Taamari,FW,jo Jordan,29-037,1997,2.4,0,0,0,2,3,1,0,0,0,,,0,Matches,f15f8b2b
912,Haris Tabaković,FW,ba Bosnia–Herz,32-027,1994,0.2,0,0,0,0,0,0,0,0,0,,,0,Matches,723b19c7
913,Lee Tae-seok,MF,kr Korea Republic,23-354,2002,1.3,0,0,0,3,1,0,8,0,3,,,0,Matches,32257cce
914,Nicolás Tagliafico,DF,ar Argentina,33-320,1992,4.0,0,0,0,4,13,2,2,3,2,,,0,Matches,f0661424
915,Jonathan Tah,DF,de Germany,30-156,1996,4.1,0,0,0,5,1,0,1,1,3,,,0,Matches,bd142efb
916,Benjamin Tahirovic,MF,ba Bosnia–Herz,23-136,2003,2.6,0,0,0,3,2,0,2,4,4,,,0,Matches,eb3022c3
917,Zaid Tahseen,DF,iq Iraq,25-169,2001,1.7,1,0,0,3,2,0,0,0,1,,,0,Matches,f3380f7e
918,Chemsdine Talbi,MF,ma Morocco,21-069,2005,2.0,0,0,0,0,1,0,9,2,2,,,0,Matches,47ce793b
919,Montassar Talbi,DF,tn Tunisia,28-052,1998,3.0,0,0,0,1,1,0,0,5,2,,,0,Matches,a4a44eb0
920,Hassan Al Tambakti,DF,sa Saudi Arabia,27-158,1999,2.4,0,0,0,0,1,0,0,3,3,,,1,Matches,6d78c320
921,Ao Tanaka,MF,jp Japan,27-310,1998,2.1,0,0,0,6,2,0,0,1,6,,,0,Matches,1d36d6b6
922,Shogo Taniguchi,DF,jp Japan,35-002,1991,2.6,1,0,0,2,1,0,0,1,0,,,0,Matches,828a9c47
923,Mehdi Taremi,FW,ir IR Iran,33-364,1992,2.9,0,0,0,3,5,2,1,2,2,,,0,Matches,4c2a5d34
924,Aurélien Tchouaméni,MF,fr France,26-171,2000,4.0,1,0,0,4,3,0,2,6,14,,,0,Matches,4f255115
925,Arthur Theate,DF,be Belgium,26-053,2000,2.5,0,0,0,1,0,0,0,3,0,,,0,Matches,df8d6029
926,Igor Thiago,FW,br Brazil,25-021,2001,0.7,0,0,0,2,0,0,0,0,1,,,0,Matches,dc45ac24
927,Malick Thiaw,DFMF,de Germany,24-343,2001,0.5,0,0,0,1,1,0,0,0,2,,,0,Matches,ff5ea0bf
928,Ryan Thomas,MF,nz New Zealand,31-209,1994,0.9,0,0,0,3,3,0,1,0,2,,,0,Matches,95efdac2
929,Brandon Thomas-Asante,FWMF,gh Ghana,27-200,1998,0.6,0,0,0,0,1,1,1,0,0,,,0,Matches,fb152f96
930,Morten Thorsby,MF,no Norway,30-073,1996,0.5,0,0,0,1,0,0,0,1,1,,,0,Matches,d1b49282
931,Kristian Thorstvedt,MF,no Norway,27-126,1999,0.7,0,0,0,2,1,0,0,0,1,,,0,Matches,76ff8d0d
932,Marcus Thuram,FWMF,fr France,28-345,1997,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,6f8cd6d0
933,Youri Tielemans,MF,be Belgium,29-071,1997,5.3,0,0,0,7,10,1,15,2,6,,,0,Matches,56f7a928
934,Kieran Tierney,MF,sct Scotland,29-042,1997,1.2,0,0,0,3,2,0,7,2,1,,,0,Matches,fce2302c
935,Guus Til,FWMF,nl Netherlands,28-207,1997,0.4,0,0,0,0,0,0,0,0,0,,,0,Matches,6e44569a
936,Malik Tillman,MF,us United States,24-050,2002,4.0,1,0,0,3,13,0,14,5,7,,,0,Matches,a5420709
937,Quinten Timber,MF,nl Netherlands,25-030,2001,0.6,0,0,0,0,2,0,1,1,0,,,0,Matches,803e7aca
938,Takehiro Tomiyasu,DF,jp Japan,27-254,1998,2.0,0,0,0,5,2,0,2,2,1,,,0,Matches,b3af9be1
939,Ivan Toney,FW,eng England,30-123,1996,0.0,0,0,0,0,0,0,0,0,0,,,0,Matches,e09f279b
940,Mehdi Torabi,MF,ir IR Iran,31-310,1994,0.3,0,0,0,0,0,0,2,1,0,,,0,Matches,74567feb
941,Félix Torres Caicedo,DF,ec Ecuador,29-187,1997,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,c0a8860f
942,Ferrán Torres,FW,es Spain,26-138,2000,2.5,1,0,0,5,2,2,4,0,0,,,0,Matches,9e1035f8
943,Sebastian Tounekti,FW,tn Tunisia,24-004,2002,0.9,0,0,0,1,0,0,3,0,0,,,0,Matches,584fee1f
944,Bazoumana Touré,MF,ci Côte d'Ivoire,20-137,2006,0.9,0,0,0,0,1,0,2,0,1,,,0,Matches,93945a50
945,Mo Touré,FW,au Australia,22-113,2004,1.8,0,0,0,4,2,1,1,0,1,,,0,Matches,8ac64b4e
946,Kai Trewin,DFMF,au Australia,25-060,2001,0.8,0,0,0,0,1,0,2,2,0,,,0,Matches,1ab3d134
947,Trézéguet,MF,eg Egypt,31-289,1994,1.8,0,0,0,3,2,0,2,1,0,,,0,Matches,3ae14ed1
948,Francisco Trincão,FWMF,pt Portugal,26-200,1999,0.3,0,0,0,0,0,0,0,0,1,,,0,Matches,77e39b04
949,Leandro Trossard,MFFW,be Belgium,31-225,1994,5.6,0,0,0,4,8,1,7,4,1,,,0,Matches,38ceb24a
950,Auston Trusty,DF,us United States,27-339,1998,1.1,0,0,0,2,0,0,2,4,1,,,0,Matches,cddf767b
951,Axel Tuanzebe,DF,cd Congo DR,28-245,1997,4.0,0,0,0,3,3,0,0,1,2,,,0,Matches,2baec6ce
952,Matt Turner,GK,us United States,32-023,1994,1.0,0,0,0,0,0,0,0,0,0,,,0,Matches,4a51ba65
953,Ayase Ueda,FW,jp Japan,27-310,1998,3.6,0,0,0,6,4,1,0,0,1,,,0,Matches,c0295327
954,Manuel Ugarte,MF,uy Uruguay,25-097,2001,2.0,0,0,0,1,0,0,0,3,1,,,0,Matches,c9817014
955,Deniz Undav,FW,de Germany,29-363,1996,1.7,0,0,0,3,0,0,1,0,0,,,0,Matches,dd549382
956,Dayot Upamecano,DF,fr France,27-263,1998,6.8,0,0,0,6,4,0,0,13,11,,,0,Matches,d248cd8f
957,Jakhongir Urozov,DF,uz Uzbekistan,22-180,2004,1.1,0,0,0,0,0,0,0,1,0,,,0,Matches,71210bed
958,Oston Urunov,MF,uz Uzbekistan,25-210,2000,0.7,0,0,0,0,0,0,0,1,0,,,0,Matches,56521adf
959,Can Uzun,MF,tr Türkiye,20-248,2005,0.4,0,0,0,0,1,0,0,0,0,,,0,Matches,1d0b134a
960,Enner Valencia,FW,ec Ecuador,36-255,1989,3.2,0,0,0,4,7,2,1,0,1,,,0,Matches,fb485406
961,Yan Valery,DF,tn Tunisia,27-145,1999,2.8,0,0,0,4,0,1,7,4,1,,,0,Matches,531a4aa8
962,Federico Valverde,MF,uy Uruguay,27-360,1998,2.6,0,0,0,1,0,0,11,3,2,,,0,Matches,0959c2a2
963,Virgil van Dijk,DF,nl Netherlands,35-009,1991,4.3,0,0,0,2,2,0,0,3,1,,,0,Matches,e06683ca
964,Hans Vanaken,MF,be Belgium,33-327,1992,3.5,0,0,0,0,6,0,2,1,1,,,0,Matches,392a7aea
965,Guillermo Varela,DF,uy Uruguay,33-115,1993,3.0,1,0,0,1,1,0,9,7,1,,,0,Matches,5c961282
966,Hélio Varela,FW,cv Cabo Verde,24-075,2002,1.2,0,0,0,1,2,1,1,0,0,,,0,Matches,91c99fec
967,Camilo Vargas,GK,co Colombia,37-130,1989,5.3,0,0,0,0,0,0,0,0,0,,,0,Matches,004e3d0f
968,Obed Vargas,MF,mx Mexico,20-346,2005,0.7,0,0,0,1,0,0,0,1,2,,,0,Matches,9cc1fde4
969,Ruben Vargas,MF,ch Switzerland,27-346,1998,3.2,0,0,0,6,6,2,23,2,2,,,0,Matches,6ecbddf6
970,Nikola Vasilj,GK,ba Bosnia–Herz,30-227,1995,4.0,0,0,0,0,0,0,0,0,0,,,0,Matches,f038585f
971,Johan Vásquez,DF,mx Mexico,27-268,1998,4.0,1,0,0,0,2,0,1,2,1,,,0,Matches,5eaed77a
972,Alexis Vega,FWMF,mx Mexico,28-234,1997,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,f40f4c38
973,Renato Veiga,DF,pt Portugal,22-353,2003,5.0,2,0,0,5,3,0,0,6,1,,,0,Matches,fc8fcbd1
974,Gustavo Velásquez,DF,py Paraguay,35-091,1991,2.7,0,0,0,2,0,0,3,1,1,,,0,Matches,b99b4cf5
975,Nishan Velupillay,MF,au Australia,25-071,2001,0.8,0,0,0,1,0,0,0,0,1,,,0,Matches,40cb6b33
976,Micky van de Ven,DFMF,nl Netherlands,25-089,2001,2.9,1,0,0,5,1,0,2,2,3,,,0,Matches,8fe2a392
977,Bart Verbruggen,GK,nl Netherlands,23-333,2002,4.3,0,0,0,0,0,0,0,0,0,,,0,Matches,cf134113
978,Matías Viña,DF,uy Uruguay,28-250,1997,0.5,0,0,0,0,1,1,2,0,0,,,0,Matches,08eb3b58
979,Federico Viñas,FW,uy Uruguay,28-017,1998,2.1,0,0,0,3,3,3,0,1,2,,,0,Matches,d30c7094
980,Denis Višinský,FW,cz Czechia,23-118,2003,0.6,0,0,0,0,1,0,0,0,0,,,0,Matches,d5aac0e9
981,Pedro Vite,MF,ec Ecuador,24-130,2002,4.0,0,0,0,2,5,0,6,5,11,,,0,Matches,9c146b36
982,Vitinha,MF,pt Portugal,26-154,2000,4.2,0,0,0,4,5,0,1,2,0,,,0,Matches,3b029691
983,Nikola Vlašić,MF,hr Croatia,28-286,1997,2.1,0,0,0,5,0,2,3,1,2,,,0,Matches,aa8e289e
984,Cristian Volpato,MF,au Australia,22-244,2003,1.8,0,0,0,1,2,0,11,0,1,,,0,Matches,72f87f25
985,Vozinha,GK,cv Cabo Verde,40-044,1986,4.3,0,0,0,0,3,0,0,0,0,,,0,Matches,dc04ac24
986,Francis de Vries,DF,nz New Zealand,31-231,1994,0.2,0,0,0,0,0,0,3,1,0,,,0,Matches,90a63dda
987,Luka Vušković,DF,hr Croatia,19-143,2007,0.7,0,0,0,1,1,0,0,1,0,,,0,Matches,fd6bdbce
988,Elye Wahi,FW,ci Côte d'Ivoire,23-196,2003,1.2,0,0,0,0,0,0,0,0,1,,,0,Matches,0d7b6576
989,Aaron Wan-Bissaka,DF,cd Congo DR,28-233,1997,3.9,0,0,0,1,1,1,6,7,4,,,0,Matches,9e525177
990,Paul Wanner,MF,at Austria,20-206,2005,2.6,0,0,0,4,2,0,1,2,1,,,0,Matches,cb64672e
991,Tsuyoshi Watanabe,DF,jp Japan,29-162,1997,1.0,0,0,0,0,1,0,1,0,2,,,0,Matches,d5f5955a
992,Cecilio Waterman,FW,pa Panama,35-095,1991,0.8,0,0,0,1,1,0,0,0,0,,,0,Matches,ddd5637f
993,Ollie Watkins,FWMF,eng England,30-199,1995,0.1,0,0,0,0,0,0,1,0,0,,,0,Matches,aed3a70f
994,Timothy Weah,MF,us United States,26-145,2000,0.8,0,0,0,2,0,2,0,0,0,,,0,Matches,8eec784d
995,Wout Weghorst,FW,nl Netherlands,33-344,1992,0.6,0,0,0,1,2,0,0,0,1,,,0,Matches,c4e87b8b
996,Jacob Widell Zetterström,GK,se Sweden,28-006,1998,2.0,0,0,0,0,0,0,0,0,0,,,0,Matches,ac5120d8
997,Silvan Widmer,DF,ch Switzerland,33-134,1993,1.9,0,0,0,2,0,0,4,1,4,,,0,Matches,f68b64fc
998,Iñaki Williams,MFFW,gh Ghana,32-032,1994,1.4,1,0,0,2,1,1,4,1,0,,,0,Matches,6a99e0b1
999,Nico Williams,MF,es Spain,24-005,2002,0.7,0,0,0,0,1,0,4,0,1,,,0,Matches,afdc14d7
1000,Ronwen Williams,GK,za South Africa,34-177,1992,4.0,0,0,0,0,0,0,0,1,0,,,0,Matches,a66cc153
1001,Patrick Wimmer,FWMF,at Austria,25-048,2001,0.2,0,0,0,3,1,0,0,2,0,,,0,Matches,cb11b429
1002,Florian Wirtz,MF,de Germany,23-075,2003,4.0,0,0,0,1,3,1,13,2,6,,,0,Matches,e7fcf289
1003,Yoane Wissa,FW,cd Congo DR,29-317,1996,4.0,0,0,0,5,9,1,0,0,1,,,0,Matches,2500cef9
1004,Axel Witsel,DFMF,be Belgium,37-186,1989,0.4,1,0,0,2,1,0,0,0,0,,,0,Matches,5dfc6ad5
1005,Nick Woltemade,FWMF,de Germany,24-153,2002,0.4,0,0,0,0,0,0,0,0,1,,,0,Matches,7ca196eb
1006,Chris Wood,FW,nz New Zealand,34-222,1991,3.0,0,0,0,2,1,4,0,0,1,,,0,Matches,4e9a0555
1007,Haji Wright,FWMF,us United States,28-112,1998,0.0,0,0,0,0,0,1,0,0,0,,,0,Matches,91cd37b7
1008,Granit Xhaka,MF,ch Switzerland,33-293,1992,6.7,2,0,0,4,12,0,4,4,4,,,0,Matches,e61b8aee
1009,Kevin Yakob,MF,iq Iraq,25-280,2000,0.3,0,0,0,1,0,0,0,1,0,,,0,Matches,18d3b8df
1010,Lamine Yamal,MFFW,es Spain,19-004,2007,5.5,0,0,0,12,8,7,29,2,6,,,0,Matches,82ec26c1
1011,Yannick,MF,cv Cabo Verde,30-200,1995,0.4,0,0,0,1,1,0,2,2,1,,,0,Matches,6246aa55
1012,Gessime Yassine,MF,ma Morocco,20-237,2005,0.9,0,0,0,2,3,0,1,1,2,,,0,Matches,f5ccae19
1013,John Yeboah,MF,ec Ecuador,26-024,2000,3.5,0,0,0,0,4,0,11,3,3,,,0,Matches,8dfdc6c3
1014,Tete Yengi,FW,au Australia,25-231,2000,0.3,0,0,0,3,0,0,1,0,2,,,0,Matches,1c215c70
1015,Kenan Yıldız,MF,tr Türkiye,21-074,2005,2.4,0,0,0,2,4,0,6,1,2,,,0,Matches,d8cda243
1016,Caleb Yirenkyi,MF,gh Ghana,20-183,2006,2.9,2,0,0,7,3,0,1,3,1,,,0,Matches,d40ce7b0
1017,Seol Young-woo,MF,kr Korea Republic,27-224,1998,2.8,0,0,0,1,2,4,9,1,0,,,0,Matches,8e577e1d
1018,Manaf Younis,DF,iq Iraq,29-243,1996,0.8,0,0,0,0,0,0,0,1,1,,,0,Matches,b798826e
1019,Aria Yousefi,MF,ir IR Iran,24-086,2002,0.5,0,0,0,0,1,0,0,1,0,,,0,Matches,fd069512
1020,Ali Yousif,FW,iq Iraq,30-179,1996,0.4,0,0,0,1,0,0,0,0,1,,,0,Matches,943fd50a
1021,İsmail Yüksek,MF,tr Türkiye,27-172,1999,1.5,0,0,0,2,0,0,0,2,5,,,0,Matches,6c5af908
1022,Utkir Yusupov,GK,uz Uzbekistan,35-194,1991,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches,31caffaf
1023,Warren Zaïre-Emery,DFMF,fr France,20-131,2006,0.2,0,0,0,1,0,0,1,1,0,,,0,Matches,6b9960cf
1024,Denis Zakaria,DF,ch Switzerland,29-239,1996,4.0,2,0,0,4,0,1,13,9,5,,,0,Matches,384d58d9
1025,Jaroslav Zelený,MF,cz Czechia,33-331,1992,1.4,0,0,0,0,2,0,4,0,0,,,0,Matches,bc647827
1026,Alejandro Zendejas,FWMF,us United States,28-160,1998,0.2,0,0,0,1,0,0,1,0,1,,,0,Matches,d717b80e
1027,Besfort Zeneli,MF,se Sweden,23-238,2002,0.7,0,0,0,1,0,0,1,1,0,,,0,Matches,6be253bf
1028,Ramiz Zerrouki,MF,dz Algeria,28-052,1998,1.2,1,0,0,4,0,0,0,2,1,,,0,Matches,c762b1a6
1029,Luca Zidane,GK,dz Algeria,28-065,1998,3.0,0,0,0,0,0,0,0,0,0,,,0,Matches,c818c4d9
1030,Mostafa Ziko,FWMF,eg Egypt,29-081,1997,4.1,0,0,0,6,5,2,2,2,4,,,0,Matches,68ff8437
1031,David Zima,DF,cz Czechia,25-251,2000,0.1,0,0,0,0,0,0,0,0,0,,,0,Matches,acf7e795
1032,Zizo,MF,eg Egypt,30-188,1996,0.6,0,0,0,2,1,0,6,0,1,,,0,Matches,c6415ba9
1033,Themba Zwane,FWMF,za South Africa,36-348,1989,0.3,0,1,0,1,0,0,0,0,0,,,0,Matches,c6f21aa8
1034,Martin Ødegaard,MF,no Norway,27-212,1998,5.2,0,0,0,3,4,0,15,3,4,,,0,Matches,79300479
1035,Leo Østigård,DF,no Norway,26-231,1999,1.6,0,0,0,2,2,0,0,1,3,,,0,Matches,b35a7399
