,,,,,,,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,,-additional
Rk,Player,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Matches,-9999
110,Ahmed Basil,GK,iq Iraq,29-332,1996,1.5,0,0,0,0,1,0,0,0,0,,,0,Matches,3bf9e631
111,Martin Baturina,MFFW,hr Croatia,23-151,2003,3.6,0,0,0,1,14,0,8,1,2,,,0,Matches,d1eda5f0
112,Ibrahim Bayesh,MFFW,iq Iraq,26-077,2000,2.6,0,0,0,3,5,0,4,1,4,,,0,Matches,2f2003ba
113,Samed Baždar,FW,ba Bosnia–Herz,22-167,2004,0.3,0,0,0,1,1,0,0,0,0,,,0,Matches,e59c9d0d
114,Riechedly Bazoer,DF,cw Curaçao,29-278,1996,1.0,0,0,0,2,0,0,0,1,1,,,0,Matches,da59a197
115,Patrick Beach,GK,au Australia,22-345,2003,4.3,0,0,0,0,0,0,0,0,0,,,0,Matches,3cc64624
116,Aziz Behich,MF,au Australia,35-213,1990,2.4,0,0,0,1,4,0,6,1,4,,,0,Matches,b6867b96
117,Maximilian Beier,FWMF,de Germany,23-273,2002,0.3,0,0,0,1,1,0,0,0,0,,,0,Matches,5db45ee5
118,Alireza Beiranvand,GK,ir IR Iran,33-299,1992,3.0,0,0,0,0,1,0,0,0,0,,,0,Matches,6ca0b04a
119,Zineddine Belaïd,DF,dz Algeria,27-119,1999,0.3,0,0,0,0,0,1,0,0,0,,,0,Matches,b2562589
120,Rafik Belghali,DF,dz Algeria,24-040,2002,3.7,0,0,0,4,2,0,4,1,3,,,0,Matches,0abcb968
121,Joe Bell,MF,nz New Zealand,27-081,1999,2.7,0,0,0,3,0,0,0,4,2,,,0,Matches,7825847e
122,Jean-Ricner Bellegarde,MF,ht Haiti,28-020,1998,2.9,1,0,0,4,5,0,10,3,2,,,0,Matches,10f0fdd3
123,Jude Bellingham,MF,eng England,23-018,2003,6.7,1,0,0,9,16,1,8,3,10,,,0,Matches,57d88cf9
124,Mortadha Ben Ouanes,DFMF,tn Tunisia,32-015,1994,0.3,0,0,0,0,1,0,0,0,0,,,0,Matches,1798891a
125,Anis Ben Slimane,MFFW,tn Tunisia,25-123,2001,2.7,0,0,0,0,0,2,6,2,2,,,0,Matches,9ade9ce1
126,Oussama Benbot,GK,dz Algeria,31-279,1994,1.0,0,0,0,0,1,0,0,0,0,,,0,Matches,dcae580c
127,Nadhir Benbouali,FW,dz Algeria,26-091,2000,0.5,0,0,0,0,0,0,0,0,1,,,0,Matches,cd25f2b3
128,Gilson Benchimol,FW,cv Cabo Verde,24-200,2001,0.9,0,0,0,0,1,0,0,0,0,,,0,Matches,eae26fce
129,Ramy Bensebaini,DF,dz Algeria,31-092,1995,4.0,0,0,0,1,5,0,0,7,6,,,0,Matches,378825c7
130,Nabil Bentaleb,MF,dz Algeria,31-235,1994,3.2,0,0,0,2,3,0,3,3,4,,,0,Matches,3189f61a
131,Rodrigo Bentancur,MF,uy Uruguay,29-022,1997,3.0,1,0,0,7,5,0,4,7,5,,,0,Matches,3b8674e6
132,Patrick Berg,MF,no Norway,28-235,1997,4.9,1,0,0,4,2,0,11,2,7,,,0,Matches,e4114f5d
133,Sander Berge,MF,no Norway,28-153,1998,5.3,0,0,0,6,2,0,1,9,4,,,0,Matches,d0b6129f
134,Lucas Bergvall,MF,se Sweden,20-165,2006,2.0,1,0,0,7,4,0,3,2,2,,,0,Matches,a109e5c8
135,Sebastian Berhalter,MF,us United States,25-068,2001,2.1,1,0,0,5,6,0,11,3,0,,,0,Matches,f33ee427
136,Alexander Bernhardsson,MF,se Sweden,27-312,1998,2.4,0,0,0,2,4,0,3,2,2,,,0,Matches,dea1d183
