Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
893,Kelvin Pires,DF,cv Cabo Verde,26-042,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,8fe1e61b
894,Isidro Pitta,FW,py Paraguay,26-337,1999,1,45.0,45.0,9.4,0.5,1,45.0,0,0,,4,3.0,1.0,0.0,1.0,2.0,2.83,Matches,e9fc7295
895,Johny Placide,GK,ht Haiti,38-169,1988,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,2.0,8.0,-6.0,-2.0,,Matches,f1666a9d
896,Gonzalo Plata,FW,ec Ecuador,25-258,2000,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,4.0,-2.0,-0.5,,Matches,54bcdeb0
897,Marin Pongračić,DF,hr Croatia,28-309,1997,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,1,2.0,4.0,3.0,1.0,0.33,2.33,Matches,2a6cd437
898,Jackson Porozo,DF,ec Ecuador,25-347,2000,1,29.0,29.0,8.1,0.3,0,,0,1,29.0,3,0.0,0.0,1.0,-1.0,-3.1,-2.83,Matches,7d704e92
899,Pedro Porro,DF,es Spain,26-307,1999,5,443.0,89.0,70.3,4.9,5,89.0,4,0,,2,3.0,12.0,1.0,11.0,2.23,1.75,Matches,27d0a506
900,Stefan Posch,DF,at Austria,29-064,1997,4,331.0,83.0,91.9,3.7,4,83.0,2,0,,0,1.0,6.0,7.0,-1.0,-0.27,5.93,Matches,7f609bfc
901,Alexander Prass,DFMF,at Austria,25-052,2001,2,29.0,15.0,8.1,0.3,0,,0,2,15.0,2,0.0,0.0,2.0,-2.0,-6.21,-5.93,Matches,6637e6a7
902,Ángelo Preciado,DFMF,ec Ecuador,28-149,1998,4,109.0,27.0,30.3,1.2,0,,0,4,27.0,0,1.0,1.0,1.0,0.0,0.0,0.72,Matches,eadc8e4f
903,Ruben Providence,MF,ht Haiti,25-010,2001,3,220.0,73.0,81.5,2.4,3,73.0,0,0,,0,0.0,2.0,6.0,-4.0,-1.64,1.96,Matches,26bab383
904,Lukáš Provod,FW,cz Czechia,29-267,1996,3,122.0,41.0,45.2,1.4,1,63.0,0,2,30.0,0,0.33,1.0,3.0,-2.0,-1.48,-0.26,Matches,8f21b7bd
905,Marc Pubill,DF,es Spain,23-027,2003,1,1.0,1.0,0.2,0.0,0,,0,1,1.0,6,3.0,0.0,0.0,0.0,0.0,-1.72,Matches,365113c0
906,Gustavo Puerta,MF,co Colombia,22-359,2003,5,469.0,94.0,97.7,5.2,5,94.0,4,0,,0,2.2,4.0,1.0,3.0,0.58,-7.61,Matches,2c08cab0
907,Christian Pulisic,MF,us United States,27-302,1998,4,223.0,56.0,49.6,2.5,3,63.0,0,1,33.0,0,1.5,6.0,4.0,2.0,0.81,0.41,Matches,1bf33a9a
908,Ahmed Qasem,MFFW,iq Iraq,23-005,2003,3,123.0,41.0,45.6,1.4,2,53.0,1,1,18.0,0,0.0,0.0,6.0,-6.0,-4.39,-1.33,Matches,27219ecb
909,Jarell Quansah,DF,eng England,23-169,2003,2,115.0,58.0,17.4,1.3,2,58.0,0,0,,3,3.0,3.0,1.0,2.0,1.57,0.9,Matches,4125cb98
910,Julián Quiñones,FWMF,mx Mexico,29-115,1997,5,410.0,82.0,91.1,4.6,5,82.0,1,0,,0,2.4,10.0,3.0,7.0,1.54,1.54,Matches,5535c728
911,Alberto Quintero,FWMF,pa Panama,38-211,1987,1,3.0,3.0,1.1,0.0,0,,0,1,3.0,2,0.0,0.0,0.0,0.0,0.0,1.35,Matches,5854ae43
912,Juan Quintero,FWMF,co Colombia,33-180,1993,4,121.0,30.0,25.2,1.3,0,,0,4,30.0,1,2.0,1.0,0.0,1.0,0.74,-0.01,Matches,540d0b37
913,Ramy Rabia,DF,eg Egypt,33-058,1993,5,372.0,74.0,77.5,4.1,3,100.0,3,2,36.0,0,1.2,7.0,5.0,2.0,0.48,1.32,Matches,e32afa36
914,Adrien Rabiot,MF,fr France,31-105,1995,6,495.0,83.0,78.6,5.5,6,83.0,5,0,,1,2.5,12.0,2.0,10.0,1.82,0.48,Matches,8794e251
915,Stjepan Radeljić,DF,ba Bosnia–Herz,28-315,1997,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,1.5,3.0,3.0,0.0,0.0,1.5,Matches,30e03a25
916,Soufiane Rahimi,FW,ma Morocco,30-045,1996,6,163.0,27.0,28.6,1.8,0,,0,6,27.0,0,1.83,6.0,1.0,5.0,2.76,2.98,Matches,f126a259
917,Abdul Rahman Baba,DFMF,gh Ghana,32-015,1994,1,1.0,1.0,0.3,0.0,0,,0,1,1.0,3,1.0,0.0,0.0,0.0,0.0,0.25,Matches,e4086af3
918,Anthony Ralston,DF,sct Scotland,27-243,1998,2,11.0,6.0,4.1,0.1,0,,0,2,6.0,1,0.0,0.0,0.0,0.0,0.0,1.04,Matches,56208b05
919,Moisés Ramírez,GK,ec Ecuador,25-311,2000,0,,,,,0,,0,0,,4,,,,,,,Matches,edf42402
920,Gonçalo Ramos,FW,pt Portugal,25-027,2001,2,36.0,18.0,8.0,0.4,0,,0,2,18.0,3,2.0,2.0,0.0,2.0,5.0,4.35,Matches,f63cda26
921,Jiovany Ramos,DF,pa Panama,29-172,1997,2,166.0,83.0,61.5,1.8,2,83.0,1,0,,1,0.0,0.0,2.0,-2.0,-1.08,0.65,Matches,30cda59f
922,Jesse Randall,MF,nz New Zealand,23-332,2002,3,61.0,20.0,22.6,0.7,0,,0,3,20.0,0,0.33,1.0,5.0,-4.0,-5.9,-5.04,Matches,513ec88e
923,Raúl Rangel,GK,mx Mexico,26-142,2000,5,437.0,87.0,97.1,4.9,5,87.0,4,0,,0,2.4,9.0,3.0,6.0,1.24,-5.69,Matches,15f733fb
924,Raphinha,MFFW,br Brazil,29-215,1996,2,129.0,65.0,28.7,1.4,2,65.0,1,0,,1,2.0,3.0,1.0,2.0,1.4,0.27,Matches,3423f250
925,Nizar Al Rashdan,MF,jo Jordan,27-116,1999,3,255.0,85.0,94.4,2.8,3,85.0,2,0,,0,0.0,3.0,7.0,-4.0,-1.41,4.59,Matches,feaa0ffd
926,Marcus Rashford,MF,eng England,28-259,1997,5,178.0,36.0,27.0,2.0,2,75.0,1,3,9.0,2,2.0,3.0,1.0,2.0,1.01,0.26,Matches,a1d5bd30
927,Nicolas Raskin,MF,be Belgium,25-144,2001,6,341.0,57.0,59.8,3.8,3,78.0,1,3,35.0,0,1.83,10.0,3.0,7.0,1.85,1.85,Matches,dba1f190
928,David Raum,DF,de Germany,28-086,1998,2,108.0,54.0,27.7,1.2,1,90.0,1,1,18.0,2,1.5,3.0,2.0,1.0,0.83,-0.76,Matches,7d450ed3
929,Noor Al Rawabdeh,MF,jo Jordan,29-143,1997,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.0,3.0,8.0,-5.0,-1.67,,Matches,3bb06c86
930,David Raya,GK,es Spain,30-305,1995,0,,,,,0,,0,0,,7,,,,,,,Matches,98ea5115
931,Rayan,FWMF,br Brazil,19-348,2006,4,288.0,72.0,64.0,3.2,3,79.0,1,1,51.0,1,2.25,6.0,1.0,5.0,1.56,1.01,Matches,288647fc
932,Iqraam Rayners,FW,za South Africa,30-210,1995,4,161.0,40.0,44.7,1.8,2,70.0,0,2,11.0,0,1.0,0.0,4.0,-4.0,-2.24,-3.14,Matches,190b0d5e
933,Amirmohammad Razzaghinia,MF,ir IR Iran,20-097,2006,0,,,,,0,,0,0,,3,,,,,,,Matches,ac3242eb
934,Tim Ream,DF,us United States,38-285,1987,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,1,2.25,9.0,5.0,4.0,1.0,2.0,Matches,28b40c9c
935,Ahmed Reda Tagnaouti,GK,ma Morocco,30-103,1996,0,,,,,0,,0,0,,6,,,,,,,Matches,12e12fd9
936,Tijjani Reijnders,MF,nl Netherlands,27-353,1998,3,199.0,66.0,51.0,2.2,3,66.0,0,0,,1,2.33,9.0,3.0,6.0,2.71,2.71,Matches,afb61630
937,Omar Rekik,DF,tn Tunisia,24-209,2001,2,180.0,90.0,66.7,2.0,2,90.0,2,0,,1,0.0,1.0,9.0,-8.0,-4.0,-2.0,Matches,e69e0f7b
938,Israel Reyes,DF,mx Mexico,26-055,2000,4,202.0,51.0,44.9,2.2,2,90.0,2,2,11.0,1,3.0,5.0,0.0,5.0,2.23,1.5,Matches,0db8bbc4
939,Gio Reyna,MF,us United States,23-246,2002,5,131.0,26.0,29.1,1.5,1,75.0,0,4,14.0,0,1.8,3.0,4.0,-1.0,-0.69,-1.82,Matches,7fa4e703
940,Ramin Rezaeian,DFMF,ir IR Iran,36-118,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,3.0,3.0,0.0,0.0,,Matches,c0ae3446
941,Chadi Riad,DF,ma Morocco,23-030,2003,4,344.0,86.0,60.4,3.8,4,86.0,3,0,,2,2.0,6.0,4.0,2.0,0.52,-0.27,Matches,b3b9b8b8
942,Declan Rice,MF,eng England,27-184,1999,6,467.0,78.0,70.8,5.2,6,78.0,2,0,,1,2.17,10.0,6.0,4.0,0.77,-0.16,Matches,1c7012b8
943,Chris Richards,DF,us United States,26-111,2000,4,360.0,90.0,80.0,4.0,4,90.0,4,0,,1,2.25,9.0,5.0,4.0,1.0,2.0,Matches,0a3d6d2b
944,Fabian Rieder,MFFW,ch Switzerland,24-151,2002,5,302.0,60.0,50.3,3.4,3,86.0,0,2,23.0,1,1.6,1.0,2.0,-1.0,-0.3,-1.81,Matches,c2bd8585
945,Richard Ríos,MF,co Colombia,26-045,2000,5,140.0,28.0,29.2,1.6,0,,0,5,28.0,0,2.2,1.0,0.0,1.0,0.64,-0.15,Matches,72da065d
946,Robin Risser,GK,fr France,21-227,2004,0,,,,,0,,0,0,,7,,,,,,,Matches,56a66faa
947,Ró-Ró,DF,qa Qatar,35-345,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,2.0,10.0,-8.0,-2.67,,Matches,8735fe66
948,Andy Robertson,DF,sct Scotland,32-128,1994,3,225.0,75.0,83.3,2.5,3,75.0,2,0,,0,1.0,1.0,3.0,-2.0,-0.8,1.2,Matches,2e4f5f03
949,Antonee Robinson,DFMF,us United States,28-343,1997,4,348.0,87.0,77.3,3.9,4,87.0,2,0,,1,2.25,9.0,4.0,5.0,1.29,3.06,Matches,289601e6
950,Miles Robinson,DF,us United States,29-125,1997,1,90.0,90.0,20.0,1.0,1,90.0,1,0,,4,0.0,2.0,3.0,-1.0,-1.0,-2.0,Matches,782a95d9
951,Sergio Rochet,GK,uy Uruguay,33-116,1993,1,45.0,45.0,16.7,0.5,0,,0,1,45.0,2,0.0,0.0,0.0,0.0,0.0,0.4,Matches,81b99b9e
952,Rodri,MF,es Spain,30-025,1996,7,626.0,89.0,99.4,7.0,7,89.0,6,0,,0,2.71,13.0,1.0,12.0,1.73,1.73,Matches,6434f10d
953,Garry Rodrigues,MF,cv Cabo Verde,35-232,1990,2,76.0,38.0,19.5,0.8,1,57.0,0,1,19.0,2,1.0,1.0,2.0,-1.0,-1.18,-1.18,Matches,149895bf
954,Brian Rodríguez,FWMF,uy Uruguay,26-058,2000,3,41.0,14.0,15.2,0.5,0,,0,3,14.0,0,0.67,0.0,0.0,0.0,0.0,0.39,Matches,c86041d7
955,James Rodríguez,FWMF,co Colombia,35-005,1991,5,313.0,63.0,65.2,3.5,5,63.0,0,0,,0,2.2,3.0,1.0,2.0,0.58,-0.5,Matches,715bf047
956,Kevin Rodríguez,FW,ec Ecuador,26-135,2000,4,118.0,30.0,32.8,1.3,0,,0,4,30.0,0,1.0,1.0,1.0,0.0,0.0,0.74,Matches,189fb038
957,Ricardo Rodríguez,DF,ch Switzerland,33-326,1992,6,517.0,86.0,86.2,5.7,6,86.0,3,0,,0,1.83,10.0,3.0,7.0,1.22,4.47,Matches,7f78ad23
958,Tomás Rodríguez,FW,pa Panama,27-130,1999,2,46.0,23.0,17.0,0.5,1,45.0,0,1,1.0,1,0.0,0.0,0.0,0.0,0.0,1.61,Matches,59f97bc8
959,Robin Roefs,GK,nl Netherlands,23-181,2003,0,,,,,0,,0,0,,4,,,,,,,Matches,349fa918
960,Godfried Roemeratoe,MF,cw Curaçao,26-332,1999,1,7.0,7.0,2.6,0.1,0,,0,1,7.0,2,1.0,0.0,0.0,0.0,0.0,2.74,Matches,a646b710
961,Morgan Rogers,MF,eng England,23-356,2002,6,249.0,42.0,37.7,2.8,2,90.0,2,4,17.0,1,2.17,5.0,2.0,3.0,1.08,0.43,Matches,2e5915f1
962,Logan Rogerson,FWMF,nz New Zealand,28-050,1998,0,,,,,0,,0,0,,2,,,,,,,Matches,9538d1a4
963,Cristian Roldan,MF,us United States,31-044,1995,0,,,,,0,,0,0,,2,,,,,,,Matches,48875649
964,Cristian Romero,DF,ar Argentina,28-081,1998,6,539.0,90.0,78.1,6.0,6,90.0,2,0,,1,3.0,12.0,6.0,6.0,1.0,-2.57,Matches,a3d94a58
965,Luis Romo,MF,mx Mexico,31-042,1995,4,264.0,66.0,58.7,2.9,4,66.0,0,0,,1,2.25,6.0,3.0,3.0,1.02,-0.91,Matches,e590bb10
966,Cristiano Ronaldo,FW,pt Portugal,41-162,1985,5,440.0,88.0,97.8,4.9,5,88.0,4,0,,0,1.6,7.0,3.0,4.0,0.82,-8.18,Matches,dea698d9
967,Eloy Room,GK,cw Curaçao,37-161,1989,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,0.33,1.0,9.0,-8.0,-2.67,,Matches,6b33d86b
968,Marten de Roon,DFMF,nl Netherlands,35-110,1991,1,11.0,11.0,2.8,0.1,0,,0,1,11.0,3,1.0,0.0,0.0,0.0,0.0,-1.42,Matches,2a1beb34
969,Márcio Rosa,GK,cv Cabo Verde,29-144,1997,0,,,,,0,,0,0,,4,,,,,,,Matches,87e907ff
970,Saed Al-Rosan,DF,jo Jordan,29-166,1997,1,10.0,10.0,3.7,0.1,0,,0,1,10.0,2,0.0,0.0,1.0,-1.0,-9.0,-7.62,Matches,f3115445
971,Antonio Rüdiger,DF,de Germany,33-136,1993,4,262.0,66.0,67.2,2.9,2,100.0,1,2,32.0,0,1.75,6.0,3.0,3.0,1.03,-1.08,Matches,18b896d6
972,Alex Rufer,MF,nz New Zealand,30-035,1996,0,,,,,0,,0,0,,3,,,,,,,Matches,53be5103
973,Fabián Ruiz Peña,MF,es Spain,30-105,1996,7,260.0,37.0,41.3,2.9,3,67.0,0,4,15.0,0,2.71,4.0,1.0,3.0,1.04,-1.15,Matches,c0c7ff58
974,Gerónimo Rulli,GK,ar Argentina,34-058,1992,0,,,,,0,,0,0,,7,,,,,,,Matches,625c144a
975,Mathew Ryan,GK,au Australia,34-100,1992,1,2.0,2.0,0.5,0.0,0,,0,1,2.0,3,1.0,0.0,0.0,0.0,0.0,0.0,Matches,4535e4bb
976,Julian Ryerson,DF,no Norway,28-242,1997,4,223.0,56.0,39.1,2.5,4,56.0,1,0,,2,2.25,5.0,2.0,3.0,1.21,1.47,Matches,009a4f60
977,José Sá,GK,pt Portugal,33-181,1993,0,,,,,0,,0,0,,5,,,,,,,Matches,903b6e8b
978,Elias Saad,MFFW,tn Tunisia,26-202,1999,2,116.0,58.0,43.0,1.3,2,58.0,0,0,,1,0.0,1.0,5.0,-4.0,-3.1,0.4,Matches,78a2284f
979,Marwane Saâdane,DFMF,ma Morocco,34-181,1992,1,4.0,4.0,0.7,0.0,0,,0,1,4.0,5,3.0,1.0,0.0,1.0,22.5,22.02,Matches,14f47102
980,Mustafa Saadoon,DF,iq Iraq,25-053,2001,1,18.0,18.0,6.7,0.2,0,,0,1,18.0,2,0.0,0.0,2.0,-2.0,-10.0,-6.79,Matches,928dc5c9
981,Mahmoud Saber,MF,eg Egypt,24-352,2001,2,46.0,23.0,9.6,0.5,1,45.0,0,1,1.0,3,1.0,1.0,1.0,0.0,0.0,-0.21,Matches,632c42f5
982,Marcel Sabitzer,MF,at Austria,32-122,1994,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,Matches,e280527c
983,Ibrahim Sadeh,MF,jo Jordan,26-081,2000,0,,,,,0,,0,0,,3,,,,,,,Matches,4bdf95b2
984,Noah Sadiki,MF,cd Congo DR,21-212,2004,4,259.0,65.0,71.9,2.9,2,90.0,2,2,40.0,0,1.0,4.0,4.0,0.0,0.0,0.0,Matches,645481cc
985,Michal Sadílek,MF,cz Czechia,27-047,1999,3,183.0,61.0,67.8,2.0,2,78.0,1,1,27.0,0,0.33,1.0,5.0,-4.0,-1.97,-1.97,Matches,7c9fa389
986,Alexis Saelemaekers,MF,be Belgium,27-020,1999,4,83.0,21.0,14.6,0.9,1,57.0,0,3,9.0,2,1.75,3.0,2.0,1.0,1.08,-0.02,Matches,ee251371
987,Ismael Saibari,FW,ma Morocco,25-170,2001,5,381.0,76.0,66.8,4.2,5,76.0,1,0,,1,2.2,5.0,4.0,1.0,0.24,-1.19,Matches,3ec9f005
988,Bukayo Saka,MF,eng England,24-315,2001,6,268.0,45.0,40.6,3.0,2,59.0,0,4,38.0,1,2.67,7.0,1.0,6.0,2.01,2.01,Matches,bc7dc64d
989,Mohamed Salah,FWMF,eg Egypt,34-032,1992,5,425.0,85.0,88.5,4.7,5,85.0,2,0,,0,1.2,8.0,7.0,1.0,0.21,0.21,Matches,e342ad68
990,Anass Salah-Eddine,DF,ma Morocco,24-180,2002,4,212.0,53.0,37.2,2.4,2,78.0,0,2,29.0,2,1.25,4.0,4.0,0.0,0.0,-1.01,Matches,0d274394
991,Nathan Saliba,MF,ca Canada,22-160,2004,3,182.0,61.0,40.4,2.0,2,74.0,1,1,34.0,2,2.0,4.0,2.0,2.0,0.99,0.65,Matches,44cfc681
992,William Saliba,DF,fr France,25-115,2001,6,479.0,80.0,76.0,5.3,6,80.0,5,0,,1,2.5,12.0,2.0,10.0,1.88,0.69,Matches,972aeb2a
993,Brice Samba,GK,fr France,32-083,1994,0,,,,,0,,0,0,,7,,,,,,,Matches,60d90c55
994,Shurandy Sambo,DF,cw Curaçao,24-332,2001,1,1.0,1.0,0.4,0.0,0,,0,1,1.0,2,0.0,0.0,0.0,0.0,0.0,2.68,Matches,4b1d5a70
995,César Samudio,GK,pa Panama,32-144,1994,0,,,,,0,,0,0,,3,,,,,,,Matches,4eb9cc0f
996,Antonio Sanabria,FW,py Paraguay,30-135,1996,2,83.0,42.0,17.3,0.9,1,61.0,0,1,22.0,3,0.5,0.0,3.0,-3.0,-3.25,-3.25,Matches,0a447501
997,Davinson Sánchez,DF,co Colombia,30-035,1996,5,480.0,96.0,100.0,5.3,5,96.0,5,0,,0,2.2,5.0,1.0,4.0,0.75,,Matches,da7b447d
998,Jorge Sánchez,DF,mx Mexico,28-219,1997,4,348.0,87.0,77.3,3.9,4,87.0,3,0,,1,2.25,8.0,3.0,5.0,1.29,-0.47,Matches,c8d1c3a5
999,Alex Sandro,DFMF,br Brazil,35-172,1991,1,9.0,9.0,2.0,0.1,0,,0,1,9.0,4,3.0,0.0,0.0,0.0,0.0,-1.22,Matches,0d82903c
1000,Leroy Sané,MF,de Germany,30-187,1996,4,326.0,82.0,83.6,3.6,4,82.0,2,0,,0,1.75,9.0,5.0,4.0,1.1,-1.71,Matches,2b114be3
1001,Ibrahim Sangaré,MF,ci Côte d'Ivoire,28-227,1997,4,268.0,67.0,74.4,3.0,3,85.0,2,1,14.0,0,1.5,5.0,3.0,2.0,0.67,1.65,Matches,bced0375
1002,Kaishū Sano,MF,jp Japan,25-199,2000,3,270.0,90.0,75.0,3.0,3,90.0,3,0,,1,1.33,7.0,4.0,3.0,1.0,1.0,Matches,7a7a6361
1003,Danilo Santos,MF,br Brazil,25-079,2001,4,46.0,12.0,10.2,0.5,0,,0,4,12.0,1,1.75,1.0,2.0,-1.0,-1.96,-3.52,Matches,a816dbfb
1004,Douglas Santos,DF,br Brazil,32-117,1994,5,441.0,88.0,98.0,4.9,5,88.0,4,0,,0,2.0,10.0,4.0,6.0,1.22,1.22,Matches,c50e5bba
1005,Bara Sapoko Ndiaye,MF,sn Senegal,18-198,2007,1,26.0,26.0,6.7,0.3,0,,0,1,26.0,3,0.0,0.0,1.0,-1.0,-3.46,-3.96,Matches,fa080d50
1006,Ismaila Sarr,MFFW,sn Senegal,28-142,1998,4,364.0,91.0,93.3,4.0,4,91.0,2,0,,0,0.75,8.0,7.0,1.0,0.25,0.25,Matches,bfdb33aa
1007,Mamadou Sarr,DF,sn Senegal,20-322,2005,0,,,,,0,,0,0,,4,,,,,,,Matches,61f80c89
1008,Farrukh Sayfiev,DFMF,uz Uzbekistan,35-181,1991,1,45.0,45.0,16.7,0.5,0,,0,1,45.0,2,0.0,1.0,2.0,-1.0,-2.0,1.2,Matches,bad66fb5
1009,Amine Sbai,FWMF,ma Morocco,25-254,2000,1,6.0,6.0,1.1,0.1,0,,0,1,6.0,5,0.0,0.0,0.0,0.0,0.0,-0.64,Matches,bafbe06a
1010,Joe Scally,DF,us United States,23-198,2002,2,87.0,44.0,19.3,1.0,1,76.0,0,1,11.0,3,1.5,2.0,2.0,0.0,0.0,-0.74,Matches,236f02cd
1011,Patrik Schick,FW,cz Czechia,30-174,1996,3,180.0,60.0,66.7,2.0,2,77.0,1,1,27.0,0,0.33,2.0,2.0,0.0,0.0,4.0,Matches,5d4f7d61
1012,Andreas Schjelderup,FW,no Norway,22-046,2004,6,252.0,42.0,44.2,2.8,2,75.0,0,4,26.0,0,2.0,7.0,7.0,0.0,0.0,-0.57,Matches,a427724f
1013,Alexander Schlager,GK,at Austria,30-166,1996,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,6.0,9.0,-3.0,-0.75,,Matches,6fe5c35b
1014,Xaver Schlager,MF,at Austria,28-292,1997,4,238.0,60.0,66.1,2.6,4,60.0,1,0,,0,1.0,2.0,5.0,-3.0,-1.13,-1.13,Matches,8f056768
1015,Nico Schlotterbeck,DF,de Germany,26-228,1999,2,135.0,68.0,34.6,1.5,2,68.0,1,0,,0,3.0,7.0,2.0,5.0,3.33,2.98,Matches,34e12499
1016,Romano Schmid,MFFW,at Austria,26-171,2000,4,263.0,66.0,73.1,2.9,4,66.0,0,0,,0,1.0,3.0,4.0,-1.0,-0.34,1.51,Matches,220ace7e
1017,Alessandro Schöpf,MF,at Austria,32-160,1994,0,,,,,0,,0,0,,4,,,,,,,Matches,106bca06
1018,Kamogelo Sebelebele,DFMF,za South Africa,23-361,2002,1,7.0,7.0,1.9,0.1,0,,0,1,7.0,3,1.0,0.0,0.0,0.0,0.0,0.51,Matches,cc014f7d
1019,Abdoulaye Seck,DF,sn Senegal,34-043,1992,1,57.0,57.0,14.6,0.6,1,57.0,0,0,,3,3.0,2.0,0.0,2.0,3.16,3.43,Matches,f07a0fe5
1020,Alidu Seidu,DF,gh Ghana,26-043,2000,1,78.0,78.0,21.7,0.9,0,,0,1,78.0,3,0.0,0.0,1.0,-1.0,-1.15,-1.15,Matches,cea59f02
1021,Nicolas Seiwald,MF,at Austria,25-074,2001,4,315.0,79.0,87.5,3.5,4,79.0,3,0,,0,1.0,6.0,7.0,-1.0,-0.29,3.71,Matches,28c6e925
1022,Ayumu Seko,DF,jp Japan,26-040,2000,2,86.0,43.0,23.9,1.0,1,74.0,0,1,12.0,2,2.0,2.0,1.0,1.0,1.05,0.39,Matches,5c6a4059
1023,Egil Selvik,GK,no Norway,28-352,1997,1,90.0,90.0,15.8,1.0,1,90.0,1,0,,5,0.0,1.0,4.0,-3.0,-3.0,-3.94,Matches,05d89c1c
1024,Ken Sema,FWMF,se Sweden,32-290,1993,1,16.0,16.0,4.4,0.2,0,,0,1,16.0,3,1.0,0.0,0.0,0.0,0.0,0.78,Matches,1770bd68
1025,Nélson Semedo,DFMF,pt Portugal,32-243,1993,4,127.0,32.0,28.2,1.4,0,,0,4,32.0,1,1.75,4.0,1.0,3.0,2.13,1.57,Matches,d04b94db
1026,Willy Semedo,FW,cv Cabo Verde,32-081,1994,3,131.0,44.0,33.6,1.5,1,60.0,0,2,36.0,1,0.67,1.0,2.0,-1.0,-0.69,-0.69,Matches,d1edc98f
1027,Antoine Semenyo,MFFW,gh Ghana,26-191,2000,4,360.0,90.0,100.0,4.0,4,90.0,4,0,,0,1.0,2.0,3.0,-1.0,-0.25,,Matches,efd2ec23
1028,Marvin Senaya,DF,gh Ghana,25-170,2001,4,278.0,70.0,77.2,3.1,4,70.0,2,0,,0,1.0,2.0,2.0,0.0,0.0,1.1,Matches,1d383c10
1029,Marcos Senesi,DF,ar Argentina,29-068,1997,1,90.0,90.0,13.0,1.0,1,90.0,1,0,,6,3.0,3.0,1.0,2.0,2.0,0.5,Matches,35141f4c
1030,Igor Sergeev,FW,uz Uzbekistan,33-078,1993,3,28.0,9.0,10.4,0.3,0,,0,3,9.0,0,0.0,0.0,3.0,-3.0,-9.64,-7.41,Matches,8df41977
1031,Jean Seri,MF,ci Côte d'Ivoire,34-363,1991,1,14.0,14.0,3.9,0.2,0,,0,1,14.0,3,3.0,0.0,0.0,0.0,0.0,-0.26,Matches,10efd0e1
1032,Kim Seung-gyu,GK,kr Korea Republic,35-290,1990,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,3.0,-1.0,-0.33,,Matches,eabaafa6
1033,Paik Seung-ho,MF,kr Korea Republic,29-122,1997,3,204.0,68.0,75.6,2.3,3,68.0,0,0,,0,1.0,2.0,2.0,0.0,0.0,1.36,Matches,1e1bea09
1034,Joaquin Seys,DF,be Belgium,21-111,2005,1,30.0,30.0,5.3,0.3,0,,0,1,30.0,5,0.0,0.0,1.0,-1.0,-3.0,-4.33,Matches,0beabf0a
1035,Jacob Shaffelburg,MF,ca Canada,26-233,1999,5,92.0,18.0,20.4,1.0,0,,0,5,18.0,0,1.4,4.0,2.0,2.0,1.96,1.71,Matches,339a2561
1036,Mohammed Abu Al-Shamat,MF,sa Saudi Arabia,23-340,2002,3,136.0,45.0,50.4,1.5,1,80.0,0,2,28.0,0,0.67,1.0,1.0,0.0,0.0,2.69,Matches,dd65e243
1037,Lawrence Shankland,FW,sct Scotland,30-341,1995,2,171.0,86.0,63.3,1.9,2,86.0,0,0,,1,1.5,1.0,3.0,-2.0,-1.05,-0.14,Matches,63b1a176
1038,Sharara,FW,jo Jordan,28-199,1997,2,2.0,1.0,0.7,0.0,0,,0,2,1.0,1,0.0,0.0,0.0,0.0,0.0,1.68,Matches,67e2aed8
1039,Saleh Al-Shehri,FW,sa Saudi Arabia,32-258,1993,0,,,,,0,,0,0,,3,,,,,,,Matches,f4377d0f
1040,Mohamed El-Shenawy,GK,eg Egypt,37-211,1988,0,,,,,0,,0,0,,5,,,,,,,Matches,b3b16d95
1041,Aimar Sher,MF,iq Iraq,23-209,2002,1,23.0,23.0,8.5,0.3,0,,0,1,23.0,2,0.0,0.0,0.0,0.0,0.0,4.01,Matches,ef301f96
1042,Kento Shiogai,FW,jp Japan,21-113,2005,1,7.0,7.0,1.9,0.1,0,,0,1,7.0,3,1.0,1.0,0.0,1.0,12.86,12.35,Matches,6bc2fef7
1043,Mostafa Shobeir,GK,eg Egypt,26-063,2000,5,480.0,96.0,100.0,5.3,5,96.0,5,0,,0,1.2,8.0,7.0,1.0,0.19,,Matches,0cb1d2ba
