Rk,Player,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Matches,-additional_-9999
575,Harry Kane,FW,eng England,32-354,1993,7,652.0,93.0,98.8,7.2,7,93.0,5,0,,0,2.29,14.0,8.0,6.0,0.83,0.83,Matches,21a66f6a
576,Lee Kang-in,FW,kr Korea Republic,25-148,2001,3,270.0,90.0,100.0,3.0,3,90.0,3,0,,0,1.0,2.0,3.0,-1.0,-0.33,,Matches,8455ad90
577,Mohamed Kanno,MF,sa Saudi Arabia,31-298,1994,3,225.0,75.0,83.3,2.5,2,90.0,2,1,45.0,0,0.67,1.0,2.0,-1.0,-0.4,5.6,Matches,74ccf212
578,N'Golo Kanté,MF,fr France,35-110,1991,0,,,,,0,,0,0,,7,,,,,,,Matches,b9fbae28
579,Steve Kapuadi,DF,cd Congo DR,28-078,1998,2,180.0,90.0,50.0,2.0,2,90.0,2,0,,2,0.5,1.0,2.0,-1.0,-0.5,-1.0,Matches,3f3c941a
580,Bekhruz Karimov,DF,uz Uzbekistan,18-344,2007,2,179.0,90.0,66.3,2.0,2,90.0,1,0,,1,0.0,1.0,8.0,-7.0,-3.52,-1.54,Matches,74cdaeba
581,Jesper Karlström,MF,se Sweden,31-026,1995,2,138.0,69.0,38.3,1.5,2,69.0,0,0,,2,1.5,4.0,5.0,-1.0,-0.65,0.16,Matches,e0a1f4eb
582,Ahmed Al-Kassar,GK,sa Saudi Arabia,35-070,1991,0,,,,,0,,0,0,,3,,,,,,,Matches,eedb42fd
583,Gervane Kastaneer,FWMF,cw Curaçao,30-038,1996,3,30.0,10.0,11.1,0.3,0,,0,3,10.0,0,0.33,0.0,1.0,-1.0,-3.0,-0.38,Matches,0c142e14
584,Nikola Katić,DF,ba Bosnia–Herz,29-280,1996,4,317.0,79.0,88.1,3.5,4,79.0,2,0,,0,1.0,4.0,7.0,-3.0,-0.85,-0.85,Matches,35bd124a
585,Edo Kayembe,MF,cd Congo DR,28-044,1998,3,160.0,53.0,44.4,1.8,2,73.0,0,1,15.0,1,0.33,1.0,2.0,-1.0,-0.56,-1.01,Matches,f99b71de
586,Joris Kayembe,DFFW,cd Congo DR,31-343,1994,4,45.0,11.0,12.5,0.5,0,,0,4,11.0,0,1.0,1.0,1.0,0.0,0.0,0.0,Matches,4657faba
587,Marvin Keller,GK,ch Switzerland,24-014,2002,0,,,,,0,,0,0,,6,,,,,,,Matches,80d5345f
