Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play
724,Ivan Perišić,MFDF,hr Croatia,37-165,1.nl PSV,1989,4,4,360,4.0,1,1,2,1,0,0,2,0,0.25,0.25,0.5,0.25,0.5,Matches,6fe90922,2.0,2.0,4.0,4.0,360.0
725,Jens Petter Hauge,DFFW,no Norway,26-278,1.no Bodø/Glimt,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,12c35abe,0.0,0.0,0.0,0.0,8.0
726,Charles Pickel,DFMF,cd Congo DR,29-063,1.es Espanyol,1997,2,0,35,0.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,f71ad8cb,1.0,0.0,0.0,0.0,35.0
727,Jordan Pickford,GK,eng England,32-132,1.eng Everton,1994,7,7,660,7.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,4806ec67,0.0,0.0,0.0,0.0,660.0
728,Pico,DF,cv Cabo Verde,34-030,1.ie Shamrock,1992,4,4,390,4.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,faef0f92,2.0,0.0,5.0,7.0,390.0
729,Frantzdy Pierrot,FW,ht Haiti,31-110,1.tr Rizespor,1995,3,2,143,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,307877be,3.0,1.0,0.0,0.0,143.0
730,Kevin Pina,MF,cv Cabo Verde,29-171,1.ru Krasnodar,1997,4,4,349,3.9,1,0,1,1,0,0,1,0,0.26,0.0,0.26,0.26,0.26,Matches,296026ae,5.0,1.0,7.0,3.0,349.0
731,Wagner Pina,DF,cv Cabo Verde,23-256,1.tr Trabzonspor,2002,1,1,89,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,9bf22b95,1.0,0.0,0.0,1.0,89.0
732,Orbelín Pineda,FWMF,mx Mexico,30-115,1.gr AEK Athens,1996,2,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,411fabd7,1.0,0.0,0.0,0.0,31.0
733,Yéremy Pino,FWMF,es Spain,23-270,1.eng Crystal Palace,2002,2,0,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,540ec57b,0.0,0.0,0.0,0.0,70.0
734,Isidro Pitta,FW,py Paraguay,26-337,1.br RB Bragantino,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e9fc7295,0.0,0.0,0.0,0.0,45.0
735,Johny Placide,GK,ht Haiti,38-169,2.fr Bastia,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,f1666a9d,0.0,0.0,0.0,0.0,270.0
736,Gonzalo Plata,FW,ec Ecuador,25-258,1.br Flamengo,2000,4,4,360,4.0,1,0,1,1,0,0,1,0,0.25,0.0,0.25,0.25,0.25,Matches,54bcdeb0,8.0,5.0,5.0,2.0,360.0
737,Marin Pongračić,DF,hr Croatia,28-309,1.it Fiorentina,1997,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2a6cd437,1.0,0.0,3.0,0.0,270.0
738,Jackson Porozo,DF,ec Ecuador,25-347,1.mx Tijuana,2000,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,7d704e92,0.0,0.0,0.0,0.0,29.0
739,Pedro Porro,DF,es Spain,26-307,1.eng Tottenham,1999,5,5,443,4.9,2,0,2,2,0,0,0,0,0.41,0.0,0.41,0.41,0.41,Matches,27d0a506,7.0,3.0,11.0,8.0,443.0
740,Stefan Posch,DF,at Austria,29-064,1.de Mainz 05,1997,4,4,331,3.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,7f609bfc,3.0,0.0,4.0,10.0,331.0
741,Alexander Prass,DFMF,at Austria,25-052,1.de Hoffenheim,2001,2,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6637e6a7,0.0,0.0,0.0,0.0,29.0
742,Ángelo Preciado,DFMF,ec Ecuador,28-149,1.br Atlético Mineiro,1998,4,0,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,eadc8e4f,0.0,0.0,1.0,3.0,109.0
743,Ruben Providence,MF,ht Haiti,25-010,2.nl Almere City,2001,3,3,220,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,26bab383,4.0,1.0,2.0,0.0,220.0
