Rk,Player,Pos,Squad,Age,Club,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Matches,-additional_-9999,Standard_Sh,Standard_SoT,Performance_TklW,Performance_Int,Playing Time_Min_play,Score
50,Miguel Almirón,MFFW,py Paraguay,32-157,1.us Atlanta Utd,1994,4,4,0.4078374455732946,3.1,0.0,0.0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,Matches,862a1c15,0.0975609756097561,0.0,0.35000000000000003,0.2,282.0,0.13078374455732947
51,Júnior Alonso,DF,py Paraguay,33-158,1.br Atlético Mineiro,1993,5,4,0.5645863570391872,4.3,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,b18a3023,0.07317073170731708,0.043478260869565216,0.45,0.26666666666666666,390.0,0.4087506047411708
52,Barış Alper Yılmaz,MFFW,tr Türkiye,26-055,1.tr Galatasaray,2000,3,2,0.2583454281567489,2.0,0.125,0.2,2,1,0,0,0,0,0.5,0.5,1.01,0.5,1.01,Matches,414b2ce4,0.04878048780487805,0.043478260869565216,0.0,0.0,179.0,0.1233345428156749
53,Roberto Alvarado,FWMF,mx Mexico,27-313,1.mx Guadalajara,1998,5,5,0.6197387518142236,4.8,0.0,0.6000000000000001,3,0,0,0,0,0,0.0,0.63,0.63,0.0,0.63,Matches,ff871e14,0.12195121951219512,0.0,0.15000000000000002,0.13333333333333333,428.0,0.2853072085147557
54,Edson Álvarez,MFDF,mx Mexico,28-266,1.eng West Ham,1997,4,2,0.3468795355587808,2.7,0.0,0.0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,8b3ab7ad,0.04878048780487805,0.0,0.30000000000000004,0.2,240.0,0.2743759071117562
55,Julián Álvarez,FW,ar Argentina,26-167,1.es Atlético Madrid,2000,7,4,0.725689404934688,5.6,0.125,0.0,1,1,0,0,0,0,0.18,0.0,0.18,0.18,0.18,Matches,15ab5a2b,0.2682926829268293,0.21739130434782608,0.2,0.2,501.0,0.1425172322375398
56,Ayoube Amaimouni,MF,ma Morocco,21-229,1.de Frankfurt,2004,2,0,0.02467343976777939,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,c5a07a5e,0.04878048780487805,0.043478260869565216,0.05,0.0,18.0,0.012467343976777942
57,Zeki Amdouni,FWMF,ch Switzerland,25-225,1.eng Burnley,2000,4,0,0.10449927431059507,0.8,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2ee5b0c9,0.024390243902439025,0.0,0.05,0.0,73.0,0.020449927431059507
58,Michael Amir Murillo,DFMF,pa Panama,30-156,1.tr Beşiktaş,1996,3,3,0.3904208998548621,3.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,349cae8f,0.12195121951219512,0.043478260869565216,0.15000000000000002,0.06666666666666667,270.0,0.16891751330430577
59,Nadiem Amiri,MF,de Germany,29-263,1.de Mainz 05,1996,2,0,0.059506531204644414,0.5,0.0,0.2,1,0,0,0,0,0,0.0,2.14,2.14,0.0,2.14,Matches,555d5edd,0.04878048780487805,0.043478260869565216,0.05,0.0,42.0,0.07595065312046445
60,Amir Al Ammari,MF,iq Iraq,28-355,1.pl Cracovia,1997,3,3,0.35703918722786643,2.7,0.0,0.2,1,0,0,0,2,0,0.0,0.36,0.36,0.0,0.36,Matches,9f65be73,0.0,0.0,0.05,0.13333333333333333,247.0,0.11903725205611998
61,Azizbek Amonov,FW,uz Uzbekistan,28-260,1.uz FK Bukhara Nurafshon,1997,1,0,0.018867924528301886,0.2,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,f487314f,0.024390243902439025,0.0,0.0,0.0,14.0,0.004878048780487806
62,Mohamed Amoura,FWMF,dz Algeria,26-069,1.de Wolfsburg,2000,1,0,0.03773584905660377,0.3,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6597f8b6,0.0,0.0,0.0,0.0,27.0,0.0037735849056603774
63,Sofyan Amrabat,MF,ma Morocco,29-330,1.es Real Betis,1996,3,1,0.2119013062409289,1.6,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,5a2cb25d,0.0,0.0,0.05,0.13333333333333333,147.0,0.04452346395742623
64,Abdulelah Al-Amri,DF,sa Saudi Arabia,29-183,0,1997,3,3,0.3454281567489114,2.7,0.125,0.0,1,1,0,0,1,0,0.38,0.0,0.38,0.38,0.38,Matches,fd0affe3,0.0975609756097561,0.08695652173913043,0.1,0.26666666666666666,239.0,0.2074189646831156
65,Youssef Amyn,MF,iq Iraq,22-330,1.cy AEK Larnaca,2003,1,0,0.04354136429608128,0.3,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,10c12f22,0.0,0.0,0.0,0.0,31.0,0.0043541364296081275
